date_obj,Black%20platelegs price
2016-10-30,1411
2016-10-31,1403
2016-11-01,1403
2016-11-02,1435
2016-11-03,1489
2016-11-04,1563
2016-11-05,1563
2016-11-06,1636
2016-11-07,1718
2016-11-08,1800
2016-11-09,1863
2016-11-10,1949
2016-11-11,2009
2016-11-12,2107
2016-11-13,2213
2016-11-14,2324
2016-11-15,2431
2016-12-07,1581
2016-12-08,1568
2016-12-09,1515
2016-12-10,1571
2016-12-11,1639
2016-12-12,1664
2016-12-13,1735
2016-12-14,1822
2016-12-15,1896
2016-12-16,1991
2016-12-17,2079
2016-12-18,1987
2016-12-19,1892
2016-12-20,1835
2016-12-21,1834
2016-12-22,1811
2016-12-23,1818
2016-12-24,1760
2016-12-25,1743
2016-12-26,1679
2016-12-27,1644
2016-12-28,1608
2016-12-29,1626
2016-12-30,1594
2016-12-31,1531
2017-01-01,1458
2017-01-02,1514
2017-01-03,1519
2017-01-04,1476
2017-01-05,1420
2017-01-06,1403
2017-01-07,1390
2017-01-08,1400
2017-01-09,1352
2017-01-10,1321
2017-01-11,1265
2017-01-12,1215
2017-01-13,1202
2017-01-14,1215
2017-01-15,1206
2017-01-16,1177
2017-01-17,1151
2017-01-18,1127
2017-01-19,1174
2017-01-20,1201
2017-01-21,1235
2017-01-22,1242
2017-01-23,1225
2017-01-27,1287
2017-01-28,1284
2017-01-29,1273
2017-01-30,1262
2017-01-31,1271
2017-02-01,1241
2017-02-02,1222
2017-02-03,1257
2017-02-04,1262
2017-02-05,1258
2017-02-06,1249
2017-02-07,1204
2017-02-08,1163
2017-02-09,1163
2017-02-10,1128
2017-02-11,1129
2017-02-12,1127
2017-02-13,1116
2017-02-14,1112
2017-02-15,1134
2017-02-16,1132
2017-02-18,1159
2017-02-19,1174
2017-02-20,1192
2017-02-21,1249
2017-02-22,1312
2017-02-23,1356
2017-02-24,1398
2017-02-25,1451
2017-02-26,1424
2017-02-27,1446
2017-02-28,1482
2017-03-01,1537
2017-03-02,1607
2017-03-03,1610
2017-03-04,1650
2017-03-05,1602
2017-03-06,1562
2017-03-07,1493
2017-03-08,1455
2017-03-09,1382
2017-03-10,1352
2017-03-11,1314
2017-03-12,1279
2017-03-13,1254
2017-03-14,1198
2017-03-15,1166
2017-03-16,1169
2017-03-17,1142
2017-03-18,1185
2017-03-19,1204
2017-03-20,1243
2017-03-21,1306
2017-03-22,1372
2017-03-23,1440
2017-03-24,1509
2017-03-25,1574
2017-03-26,1610
2017-03-27,1566
2017-03-28,1494
2017-03-29,1459
2017-03-30,1451
2017-03-31,1478
2017-04-01,1482
2017-04-02,1473
2017-04-03,1465
2017-04-04,1499
2017-04-12,1385
2017-04-13,1358
2017-04-14,1322
2017-04-15,1308
2017-04-16,1355
2017-04-17,1423
2017-04-18,1495
2017-04-19,1565
2017-04-20,1630
2017-04-21,1697
2017-04-22,1751
2017-04-23,1788
2017-04-24,1800
2017-04-25,1815
2017-04-26,1837
2017-04-27,1876
2017-04-28,1967
2017-04-29,1978
2017-04-30,1887
2017-05-01,1807
2017-05-02,1729
2017-05-03,1666
2017-05-04,1595
2017-05-05,1538
2017-05-06,1473
2017-05-07,1444
2017-05-08,1417
2017-05-09,1374
2017-05-10,1318
2017-05-11,1322
2017-05-12,1371
2017-05-13,1440
2017-05-14,1510
2017-05-15,1572
2017-05-16,1650
2017-05-17,1690
2017-05-18,1652
2017-05-19,1647
2017-05-20,1618
2017-05-21,1618
2017-05-22,1556
2017-05-23,1496
2017-05-24,1516
2017-05-25,1573
2017-05-26,1652
2017-05-27,1735
2017-05-28,1822
2017-05-29,1871
2017-05-30,1948
2017-05-31,1900
2017-06-01,1970
2017-06-02,1976
2017-06-03,2029
2017-06-04,2065
2017-06-05,2083
2017-06-06,2066
2017-06-07,2072
2017-06-08,2113
2017-06-09,2015
2017-06-10,2034
2017-06-11,2042
2017-06-12,1945
2017-06-13,1853
2017-06-14,1776
2017-06-15,1699
2017-06-16,1614
2017-06-17,1533
2017-06-18,1507
2017-06-19,1507
2017-06-20,1471
2017-06-21,1437
2017-06-22,1370
2017-06-23,1336
2017-06-24,1275
2017-06-25,1252
2017-06-26,1288
2017-06-27,1289
2017-06-28,1288
2017-06-29,1288
2017-06-30,1281
2017-07-01,1281
2017-07-02,1265
2017-07-03,1254
2017-07-04,1246
2017-07-05,1246
2017-07-06,1199
2017-07-07,1203
2017-07-08,1205
2017-07-13,1147
2017-07-14,1126
2017-07-15,1118
2017-07-16,1115
2017-07-17,1092
2017-07-18,1087
2017-07-19,1088
2017-07-20,1116
2017-07-21,1119
2017-07-22,1161
2017-07-23,1220
2017-07-24,1264
2017-07-25,1328
2017-07-26,1384
2017-07-27,1454
2017-07-28,1526
2017-07-29,1603
2017-07-30,1681
2017-07-31,1699
2017-08-01,1726
2017-08-02,1699
2017-08-03,1644
2017-08-04,1645
2017-08-05,1659
2017-08-06,1659
2017-08-07,1675
