date_obj,Water%20battlestaff price
2019-01-29,9042
2019-01-30,9045
2019-01-31,9043
2019-02-01,9050
2019-02-02,9052
2019-02-03,9061
2019-02-04,9064
2019-02-05,9054
2019-02-06,9060
2019-02-07,9069
2019-02-08,9090
2019-02-09,9060
2019-02-10,9060
2019-02-11,9061
2019-02-12,9068
2019-02-13,9069
2019-02-14,9076
2019-02-15,9073
2019-02-16,9072
2019-02-17,9082
2019-02-18,9069
2019-02-19,9064
2019-02-20,9066
2019-02-21,9072
2019-02-22,9091
2019-02-23,9078
2019-02-24,9077
2019-02-25,9079
2019-02-26,9069
2019-02-27,9061
2019-02-28,9042
2019-03-01,9051
2019-03-02,9064
2019-03-03,9078
2019-03-04,9077
2019-03-05,9083
2019-03-06,9109
2019-03-07,9126
2019-03-08,9101
2019-03-09,9071
2019-03-10,9065
2019-03-11,9050
2019-03-12,9051
2019-03-13,9028
2019-03-14,9051
2019-03-15,9008
2019-03-16,9030
2019-03-17,9034
2019-03-18,9037
2019-03-19,9019
2019-03-20,9050
2019-03-21,9060
2019-03-22,9053
2019-03-23,9046
2019-03-24,9034
2019-03-25,9048
2019-03-26,9051
2019-03-27,9043
2019-03-28,9063
2019-03-29,9067
2019-03-30,9056
2019-03-31,9058
2019-04-01,9061
