date_obj,Necklace%20of%20anguish price
2020-01-02,15657918
2020-01-03,15672764
2020-01-04,15695991
2020-01-05,15805388
2020-01-06,15649540
2020-01-07,15597088
2020-01-08,15611379
2020-01-09,15566672
2020-01-10,15549890
2020-01-11,15623574
2020-01-12,15807165
2020-01-13,15846094
2020-01-14,15839860
2020-01-15,15780040
2020-01-16,15792566
2020-01-17,15961339
2020-01-18,16098631
2020-01-19,16185376
2020-01-20,16157564
2020-01-21,16162730
2020-01-22,16164803
2020-01-23,16170537
2020-01-24,16161185
2020-01-25,16237079
2020-01-26,16474963
2020-01-27,16483028
2020-01-28,16513253
2020-01-29,16505445
2020-01-30,16493717
2020-01-31,16518277
2020-02-01,16604459
2020-02-02,16565872
2020-02-03,16568031
2020-02-04,16558684
2020-02-05,16594506
2020-02-06,15840586
2020-02-07,15735116
2020-02-08,15488803
2020-02-09,15557250
2020-02-10,15609073
2020-02-11,15617232
2020-02-12,15587910
2020-02-13,15553279
2020-02-14,15581351
2020-02-15,15773980
2020-02-16,15820053
2020-02-17,15808537
2020-02-18,15763820
2020-02-19,15741306
2020-02-20,15684937
2020-02-21,15609623
2020-02-22,15539626
2020-02-23,15531524
2020-02-24,15513912
2020-02-25,15500092
2020-02-26,15491142
2020-02-27,15522203
2020-02-28,15655353
2020-02-29,15909187
2020-03-01,15968160
2020-03-02,15915664
2020-03-03,15887858
2020-03-04,15845883
2020-03-05,15713699
2020-03-06,15789143
2020-03-07,15891921
2020-03-08,15955456
2020-03-09,15933182
2020-03-10,15914062
2020-03-11,15895062
2020-03-12,15914049
2020-03-13,16011065
2020-03-14,16292493
2020-03-15,16311807
2020-03-16,16380799
2020-03-17,16352039
2020-03-18,16403675
2020-03-19,16553982
2020-03-20,16720934
2020-03-21,16842644
2020-03-22,17001742
2020-03-23,17082131
2020-03-24,17192885
2020-03-25,17298210
2020-03-26,17341914
2020-03-27,17345455
2020-03-28,17343078
2020-03-29,17328988
2020-03-30,17439692
2020-03-31,17709411
2020-04-01,17689889
2020-04-02,18006433
2020-04-03,18037068
2020-04-04,18156310
2020-04-05,18088769
2020-04-06,18020288
2020-04-07,18048005
2020-04-08,17966944
2020-04-09,17910166
2020-04-10,17913862
2020-04-11,17991559
2020-04-12,18033366
2020-04-13,18018004
2020-04-14,18092839
2020-04-15,18254246
2020-04-16,18269113
2020-04-17,18277409
2020-04-18,18331428
2020-04-19,18323064
2020-04-20,18294877
2020-04-21,18296560
2020-04-22,18177886
2020-04-23,17974807
2020-04-24,17811856
2020-04-25,17737126
2020-04-26,17663665
2020-04-27,17599677
2020-04-28,17559809
2020-04-29,17524631
2020-04-30,17520231
2020-05-01,17463961
2020-05-02,17525071
2020-05-03,17534696
2020-05-04,17703374
2020-05-05,17686868
2020-05-06,17747315
2020-05-07,17813278
2020-05-08,18155723
2020-05-09,18337613
2020-05-10,18280510
2020-05-11,18315884
2020-05-12,18434997
2020-05-13,18380130
