date_obj,Rock-shell%20chunk price
2018-01-12,11794
2018-01-13,11794
2018-01-14,11794
2018-01-15,11794
2018-01-16,11794
2018-01-17,11794
2018-01-18,11794
2018-01-19,11794
2018-01-20,11794
2018-01-21,11794
2018-01-22,11794
2018-01-23,11794
2018-01-24,11812
2018-01-25,11812
2018-01-26,11812
2018-01-27,11812
2018-01-28,11812
2018-01-29,11812
2018-01-31,11812
2018-02-01,11812
2018-02-02,11812
2018-02-03,11812
2018-02-04,11812
2018-02-05,11812
2018-02-06,11812
2018-02-07,11812
2018-02-08,11812
2018-02-09,11812
2018-02-10,11812
2018-02-11,11812
2018-02-12,11812
2018-02-13,11812
2018-02-14,11812
2018-02-15,11976
2018-02-16,11976
2018-02-17,11976
2018-02-18,11976
2018-02-19,11976
2018-02-20,11976
2018-02-21,11976
2018-02-22,11976
2018-02-23,11976
2018-02-24,11976
2018-02-25,11976
2018-02-26,11976
2018-02-27,11976
2018-02-28,11976
2018-03-01,11976
2018-03-02,11976
2018-03-03,11976
2018-03-04,11976
2018-03-05,11976
2018-03-06,11976
2018-03-07,11976
2018-03-08,11976
2018-03-09,11976
2018-03-10,11976
2018-03-11,11976
2018-03-12,12032
2018-03-13,12032
2018-03-14,12032
2018-03-15,12032
2018-03-16,12032
2018-03-17,12032
2018-03-18,12032
2018-03-19,12032
2018-03-20,12032
2018-03-21,12032
2018-03-23,12032
2018-03-24,12032
2018-03-26,12032
2018-03-27,12032
2018-03-29,12032
2018-03-30,12032
2018-03-31,12032
2018-04-01,12032
2018-04-02,12032
2018-04-03,12032
2018-04-04,12032
2018-04-05,12032
2018-04-06,12032
2018-04-08,12083
2018-04-09,12083
2018-04-10,12083
2018-04-11,12083
2018-04-12,12083
2018-04-13,12083
2018-04-14,12083
2018-04-15,12083
2018-04-16,12083
2018-04-17,12083
2018-04-18,12083
2018-04-19,12083
2018-04-20,12083
2018-04-21,12083
2018-04-22,12083
2018-04-23,12083
2018-04-24,12083
2018-04-25,12083
2018-04-26,12083
2018-04-27,12083
2018-04-28,12083
2018-04-29,12083
2018-04-30,12083
2018-05-01,12083
2018-05-02,12083
2018-05-03,12083
2018-05-04,12083
2018-05-05,12083
2018-05-06,12083
2018-05-07,12083
2018-05-08,12083
2018-05-09,12083
2018-05-10,12306
2018-05-11,12306
2018-05-12,12306
2018-05-13,12306
2018-05-14,12306
2018-05-15,12306
2018-05-16,12306
2018-05-17,12306
