date_obj,Rune%20kiteshield price
2017-11-29,32362
2017-11-30,32226
2017-12-01,32275
2017-12-02,32276
2017-12-03,32228
2017-12-04,32256
2017-12-05,32225
2017-12-06,32233
2017-12-07,32220
2017-12-08,32175
2017-12-09,32228
2017-12-10,32204
2017-12-11,32237
2017-12-12,32143
2017-12-13,32061
2017-12-14,32101
2017-12-15,32140
2017-12-16,32231
2017-12-17,32193
2017-12-18,32239
2017-12-19,32244
2017-12-20,32329
2017-12-21,32281
2017-12-22,32233
2017-12-23,32249
2017-12-24,32316
2017-12-25,32356
2017-12-26,32327
2017-12-27,32280
2017-12-28,32334
2017-12-29,32286
2017-12-30,32349
2017-12-31,32131
2018-01-01,32224
2018-01-02,32233
2018-01-03,32219
2018-01-04,32207
2018-01-05,32087
2018-01-06,32219
2018-01-07,32230
2018-01-08,31838
2018-01-09,32060
2018-01-10,32153
2018-01-11,32213
2018-01-12,32206
2018-01-13,32017
2018-01-14,32179
2018-01-15,32202
2018-01-16,32220
2018-01-17,32205
2018-01-18,32189
2018-01-19,32237
2018-01-20,32192
2018-01-21,32202
2018-01-22,32187
2018-01-23,32216
2018-01-24,32255
2018-01-25,32226
2018-01-26,32205
2018-01-27,32216
2018-01-28,32244
2018-01-29,32263
2018-01-30,32214
2018-01-31,32226
2018-02-01,32221
2018-02-02,32230
2018-02-03,32197
2018-02-04,32197
2018-02-05,32222
2018-02-06,32228
2018-02-07,32231
2018-02-08,32161
2018-02-09,32027
2018-02-10,32012
2018-02-11,32063
2018-02-12,32075
2018-02-13,32164
2018-02-14,32191
2018-02-15,32131
2018-02-16,32125
2018-02-17,32136
2018-02-18,32105
2018-02-19,32090
2018-02-20,32071
2018-02-21,32128
2018-02-22,32214
2018-02-23,32220
2018-02-24,32234
2018-02-25,32209
2018-02-26,32228
2018-02-27,32242
2018-02-28,32244
2018-03-01,32213
2018-03-02,32200
2018-03-03,32202
2018-03-04,32213
2018-03-05,32215
2018-03-06,32232
2018-03-07,32237
2018-03-08,32237
2018-03-09,32195
2018-03-10,32144
2018-03-11,32139
2018-03-12,32199
2018-03-13,32235
2018-03-14,32221
2018-03-15,32174
2018-03-16,32195
2018-03-17,32186
2018-03-18,32137
2018-03-19,32039
2018-03-20,32052
2018-03-21,32163
2018-03-23,32104
2018-03-24,32152
2018-03-26,32156
2018-03-27,32207
2018-03-28,32233
2018-03-29,32260
2018-03-30,32235
2018-03-31,32261
2018-04-01,32225
2018-04-02,32168
2018-04-03,32262
2018-04-04,32292
2018-04-05,32296
2018-04-06,32295
2018-04-08,32249
2018-04-09,32256
2018-04-10,32252
2018-04-11,32274
2018-04-12,32330
2018-04-13,32234
2018-04-14,32249
2018-04-15,32252
2018-04-16,32250
2018-04-17,32232
2018-04-18,32231
2018-04-19,32202
2018-04-20,32187
2018-04-21,32229
2018-04-22,32226
2018-04-23,32239
2018-04-24,32235
2018-04-25,32232
2018-04-26,32247
2018-04-27,32240
2018-04-28,32239
2018-04-29,32215
2018-04-30,32163
2018-05-01,32211
2018-05-02,32251
2018-05-03,32229
2018-05-04,32246
2018-05-05,32252
2018-05-06,32263
2018-05-07,32237
2018-05-08,32225
2018-05-09,32254
2018-05-10,32209
2018-05-11,32215
2018-05-12,32188
2018-05-13,32236
2018-05-14,32202
2018-05-15,32244
2018-05-16,32236
2018-05-17,32232
2018-05-18,32240
2018-05-19,32194
2018-05-20,32207
2018-05-21,32254
2018-05-22,32239
2018-05-23,32222
2018-05-24,32218
2018-05-25,32233
2018-05-26,32245
2018-05-27,32231
2018-05-28,32214
2018-05-29,32239
2018-05-30,32292
2018-05-31,32291
2018-06-01,32183
2018-06-02,32230
2018-06-03,32277
2018-06-04,32196
2018-06-05,32221
2018-06-06,32202
2018-06-07,32197
2018-06-08,32154
2018-06-09,32155
2018-06-10,32157
2018-06-11,32170
2018-06-12,32193
2018-06-13,32142
2018-06-14,32190
2018-06-15,32174
2018-06-16,32198
2018-06-17,32161
2018-06-18,32206
2018-06-19,32195
2018-06-20,32190
2018-06-21,32204
2018-06-22,32214
2018-06-23,32218
2018-06-24,32195
2018-06-25,32202
2018-06-26,32224
2018-06-27,32204
2018-06-28,32202
2018-06-29,32155
2018-06-30,32175
2018-07-01,32193
2018-07-02,32195
2018-07-03,32203
2018-07-04,32184
2018-07-05,32196
2018-07-06,32172
2018-07-07,32144
2018-07-08,32170
2018-07-09,32187
2018-07-10,32238
2018-07-11,32224
2018-07-12,32285
2018-07-13,32196
2018-07-14,32224
2018-07-15,32174
2018-07-16,32125
2018-07-17,32184
2018-07-18,32166
2018-07-19,32230
2018-07-20,32197
2018-07-21,32186
2018-07-22,32211
2018-07-23,32209
2018-07-24,32192
2018-07-25,32200
2018-07-26,32163
2018-07-27,32060
2018-07-28,32080
2018-07-29,32136
2018-07-30,32107
2018-07-31,32104
2018-08-01,32107
2018-08-02,32118
2018-08-03,32029
2018-08-04,32047
2018-08-05,32163
2018-08-06,32092
2018-08-07,32139
2018-08-08,32060
2018-08-09,32093
2018-08-10,32138
2018-08-11,32014
2018-08-12,32067
2018-08-14,32176
2018-08-16,32125
2018-08-17,32078
2018-08-18,32138
2018-08-19,32162
2018-08-20,32187
2018-08-21,32144
2018-08-22,32188
2018-08-23,32196
2018-08-24,32144
2018-08-25,32148
2018-08-26,32106
2018-08-27,32138
2018-08-28,32142
2018-08-29,32173
2018-08-30,32232
2018-08-31,32146
2018-09-01,32146
2018-09-02,32205
2018-09-03,32146
2018-09-04,32142
2018-09-05,32170
2018-09-06,32208
2018-09-07,32149
2018-09-08,32149
2018-09-09,32159
2018-09-10,32184
2018-09-11,32177
2018-09-12,32191
2018-09-13,32213
2018-09-14,32221
2018-09-15,32194
2018-09-16,32235
2018-09-17,32098
2018-09-18,32184
2018-09-19,32210
2018-09-20,32202
2018-09-21,32178
2018-09-22,32179
2018-09-23,32206
2018-09-24,32180
2018-09-25,32224
2018-09-26,32221
2018-09-27,32194
2018-09-28,32180
2018-09-29,32166
2018-09-30,32081
2018-10-02,32157
2018-10-03,32145
2018-10-04,32181
2018-10-05,32167
2018-10-06,32159
2018-10-07,32195
2018-10-08,32221
2018-10-09,32200
2018-10-10,32189
2018-10-11,32188
2018-10-12,32183
2018-10-13,32155
2018-10-14,32172
2018-10-15,32172
2018-10-16,32206
2018-10-17,32214
2018-10-18,32204
2018-10-19,32191
2018-10-20,32205
2018-10-21,32197
2018-10-22,32196
2018-10-23,32187
2018-10-24,32204
2018-10-25,32202
2018-10-26,32197
2018-10-27,32181
2018-10-28,32189
2018-10-29,32204
2018-10-30,32228
2018-10-31,32206
2018-11-01,32232
2018-11-03,32250
2018-11-04,32226
2018-11-05,32211
2018-11-06,32221
2018-11-07,32227
2018-11-08,32242
2018-11-09,32242
2018-11-10,32248
2018-11-11,32166
2018-11-12,32156
2018-11-13,32190
2018-11-14,32222
2018-11-15,32213
2018-11-16,32191
2018-11-17,32187
2018-11-18,32193
2018-11-19,32193
2018-11-20,32202
2018-11-21,32204
2018-11-22,32203
2018-11-23,32210
2018-11-24,32222
2018-11-25,32236
2018-11-26,32248
2018-11-27,32250
2018-11-28,32249
2018-11-29,32221
2018-12-01,32230
2018-12-02,32212
2018-12-03,32220
2018-12-04,32222
2018-12-05,32239
2018-12-07,32212
2018-12-09,32223
2018-12-10,32242
2018-12-11,32241
2018-12-12,32259
2018-12-13,32243
2018-12-14,32244
2018-12-15,32247
2018-12-16,32237
2018-12-17,32228
2018-12-18,32239
2018-12-19,32239
2018-12-20,32225
2018-12-21,32214
2018-12-22,32230
2018-12-23,32237
2018-12-24,32229
2018-12-25,32134
2018-12-26,32143
2018-12-27,32181
2018-12-28,32195
2018-12-29,32190
2018-12-30,32197
2018-12-31,32190
2019-01-01,32141
2019-01-02,32168
2019-01-03,32189
2019-01-04,32191
2019-01-05,32194
2019-01-06,32197
2019-01-08,32217
2019-01-10,32046
2019-01-11,32026
2019-01-12,32127
2019-01-13,32192
2019-01-14,32220
2019-01-15,32215
2019-01-16,32219
2019-01-17,32227
2019-01-18,32215
2019-01-19,32206
2019-01-20,32205
2019-01-21,32211
2019-01-22,32205
