date_obj,Black%20cape price
2017-02-02,474
2017-02-03,474
2017-02-04,480
2017-02-05,480
2017-02-06,472
2017-02-07,472
2017-02-08,469
2017-02-09,469
2017-02-10,478
2017-02-11,478
2017-02-12,468
2017-02-13,468
2017-02-14,488
2017-02-15,488
2017-02-16,507
2017-02-18,507
2017-02-19,522
2017-02-20,522
2017-02-21,545
2017-02-22,545
2017-02-23,545
2017-02-24,563
2017-02-25,563
2017-02-26,578
2017-02-27,578
2017-02-28,589
2017-03-01,589
2017-03-02,591
2017-03-03,591
2017-03-04,600
2017-03-05,600
2017-03-06,599
2017-03-07,599
2017-03-08,599
2017-03-09,602
2017-03-10,602
2017-03-11,604
2017-03-12,604
2017-03-13,607
2017-03-14,607
2017-03-15,619
2017-03-16,619
2017-03-17,621
2017-03-18,621
2017-03-19,600
2017-03-20,600
2017-03-21,595
2017-03-22,595
2017-03-23,601
2017-03-24,601
2017-03-25,601
2017-03-26,583
2017-03-27,583
2017-03-28,590
2017-03-29,590
2017-03-30,582
2017-03-31,582
2017-04-01,589
2017-04-02,589
2017-04-03,587
2017-04-04,587
2017-04-12,561
2017-04-13,558
2017-04-14,558
2017-04-15,551
2017-04-16,551
2017-04-17,544
2017-04-18,544
2017-04-19,545
2017-04-20,545
2017-04-21,548
2017-04-22,548
2017-04-23,558
2017-04-24,558
2017-04-25,553
2017-04-26,553
2017-04-27,553
2017-04-28,540
2017-04-29,540
2017-04-30,517
2017-05-01,517
2017-05-02,500
2017-05-03,500
2017-05-04,493
2017-05-05,493
2017-05-06,480
2017-05-07,480
2017-05-08,486
2017-05-09,486
2017-05-10,479
2017-05-11,479
2017-05-12,483
2017-05-13,483
2017-05-14,480
2017-05-15,480
2017-05-16,472
2017-05-17,472
2017-05-18,467
2017-05-19,467
2017-05-20,469
2017-05-21,469
2017-05-22,469
2017-05-23,454
2017-05-24,454
2017-05-25,459
2017-05-26,459
2017-05-27,461
2017-05-28,461
2017-05-29,442
2017-05-30,442
2017-05-31,433
2017-06-01,433
2017-06-02,426
2017-06-03,426
2017-06-04,425
2017-06-05,425
2017-06-06,436
2017-06-07,436
2017-06-08,436
2017-06-09,450
2017-06-10,449
2017-06-11,449
2017-06-12,444
2017-06-13,444
2017-06-14,465
2017-06-15,465
2017-06-16,488
2017-06-17,488
2017-06-18,481
2017-06-19,481
2017-06-20,486
2017-06-21,486
2017-06-22,486
2017-06-23,475
2017-06-24,475
2017-06-25,471
2017-06-26,471
2017-06-27,461
2017-06-28,461
2017-06-29,439
2017-06-30,439
2017-07-01,439
2017-07-02,431
2017-07-03,431
2017-07-04,425
2017-07-05,425
2017-07-06,437
2017-07-07,437
2017-07-08,437
2017-07-13,459
2017-07-14,476
2017-07-15,476
2017-07-16,476
2017-07-17,469
2017-07-18,469
2017-07-19,452
2017-07-20,452
2017-07-21,450
2017-07-22,450
2017-07-23,444
2017-07-24,444
2017-07-25,433
2017-07-26,433
2017-07-27,443
2017-07-28,443
2017-07-29,443
2017-07-30,450
2017-07-31,450
2017-08-01,450
2017-08-02,439
2017-08-03,439
2017-08-04,433
2017-08-05,438
2017-08-06,438
2017-08-07,450
2017-08-08,450
2017-08-09,449
2017-08-10,449
2017-08-11,449
2017-08-12,449
2017-08-13,456
2017-08-14,456
2017-08-15,454
2017-08-16,454
2017-08-17,457
2017-08-18,457
2017-08-19,457
2017-08-20,454
2017-08-21,454
2017-08-22,474
2017-08-23,474
2017-08-24,474
2017-08-25,496
2017-08-26,496
2017-08-27,498
2017-08-28,498
2017-08-29,498
2017-08-30,505
2017-08-31,505
2017-09-01,505
2017-09-02,507
2017-09-03,507
2017-09-04,482
2017-09-05,482
2017-09-06,470
2017-09-07,470
2017-09-08,472
2017-09-09,472
2017-09-10,450
2017-09-11,450
2017-09-12,451
2017-09-13,451
2017-09-14,459
2017-09-15,459
2017-09-16,459
2017-09-17,460
2017-09-18,460
2017-09-19,459
2017-09-20,459
2017-09-22,447
2017-09-23,428
2017-09-24,428
2017-09-25,418
2017-09-26,418
2017-09-27,402
2017-09-28,402
2017-09-29,387
2017-09-30,387
2017-10-01,377
2017-10-02,377
2017-10-03,378
2017-10-04,378
2017-10-05,378
2017-10-06,378
2017-10-07,378
2017-10-08,387
2017-10-09,387
2017-10-10,389
2017-10-11,389
2017-10-12,385
2017-10-13,385
2017-10-14,369
2017-10-15,369
2017-10-16,358
2017-10-17,358
2017-10-18,346
2017-10-19,346
2017-10-20,342
2017-10-21,342
2017-10-22,335
2017-10-23,335
2017-10-24,324
2017-10-25,324
2017-10-26,324
2017-10-27,324
2017-10-28,324
2017-10-29,324
2017-10-30,324
2017-10-31,321
2017-11-01,321
2017-11-02,321
2017-11-03,327
2017-11-04,322
2017-11-05,322
2017-11-06,321
2017-11-07,321
2017-11-08,319
2017-11-09,319
2017-11-10,331
2017-11-11,331
2017-11-12,317
2017-11-13,317
2017-11-14,317
2017-11-15,317
2017-11-16,327
2017-11-17,327
2017-11-18,320
2017-11-19,320
2017-11-20,315
2017-11-21,315
2017-11-22,322
2017-11-23,322
2017-11-24,323
2017-11-25,323
2017-11-26,332
2017-11-27,332
2017-11-28,337
2017-11-29,337
2017-11-30,337
2017-12-01,333
2017-12-02,333
2017-12-03,325
2017-12-04,325
2017-12-05,323
2017-12-06,323
2017-12-07,318
2017-12-08,318
2017-12-09,333
2017-12-10,333
2017-12-11,327
2017-12-12,327
2017-12-13,317
2017-12-14,317
2017-12-15,320
2017-12-16,320
2017-12-17,328
2017-12-18,327
2017-12-19,327
2017-12-20,338
2017-12-21,338
2017-12-22,324
2017-12-23,324
2017-12-24,317
2017-12-25,317
2017-12-26,325
2017-12-27,325
2017-12-28,333
2017-12-29,333
