date_obj,Steam%20staff%20upgrade%20kit price
2017-10-18,68597
2017-10-19,68597
2017-10-20,68597
2017-10-21,68597
2017-10-22,68597
2017-10-23,68597
2017-10-24,68597
2017-10-25,68597
2017-10-26,68038
2017-10-27,68038
2017-10-28,68038
2017-10-29,68038
2017-10-30,68038
2017-10-31,68038
2017-11-01,68038
2017-11-02,68038
2017-11-03,68038
2017-11-04,68038
2017-11-05,68038
2017-11-06,67684
2017-11-07,67684
2017-11-08,67684
2017-11-09,67684
2017-11-10,67684
2017-11-11,67684
2017-11-12,67684
2017-11-13,67684
2017-11-14,67684
2017-11-15,67684
2017-11-16,67684
2017-11-17,67684
2017-11-18,66936
2017-11-19,66936
2017-11-20,66936
2017-11-21,66936
2017-11-22,66936
2017-11-23,66936
2017-11-24,66936
2017-11-25,66936
2017-11-26,66936
2017-11-27,66936
2017-11-28,66936
2017-11-29,67490
2017-11-30,67490
2017-12-01,67490
2017-12-02,67490
2017-12-03,67490
2017-12-04,67490
2017-12-05,67490
2017-12-06,67490
2017-12-07,67490
2017-12-08,67490
2017-12-09,67490
2017-12-10,66674
2017-12-11,66674
2017-12-12,66674
2017-12-13,66674
2017-12-14,66674
2017-12-15,66674
2017-12-16,66674
2017-12-17,66674
2017-12-18,66674
2017-12-19,66674
2017-12-20,66674
2017-12-21,66674
2017-12-22,65109
2017-12-23,65109
2017-12-24,65109
2017-12-25,65109
2017-12-26,65109
2017-12-27,65109
2017-12-28,65109
2017-12-29,65109
2017-12-30,65109
2017-12-31,65109
2018-01-01,65109
2018-01-02,66984
2018-01-03,66984
2018-01-04,66984
2018-01-05,66984
2018-01-06,66984
2018-01-07,66984
2018-01-08,66984
2018-01-09,66984
2018-01-10,66984
2018-01-11,66984
2018-01-12,66984
2018-01-13,66139
2018-01-14,66139
2018-01-15,66139
2018-01-16,66139
2018-01-17,66139
2018-01-18,66139
2018-01-19,66139
2018-01-20,66139
2018-01-21,66139
2018-01-22,66139
2018-01-23,63490
2018-01-24,63490
2018-01-25,63490
2018-01-26,63490
2018-01-27,63490
2018-01-28,63490
2018-01-29,60429
2018-01-30,60429
2018-02-01,60429
2018-02-02,60429
2018-02-04,60429
2018-02-05,62610
2018-02-06,62610
2018-02-07,62610
2018-02-08,62610
2018-02-09,62610
2018-02-10,62610
2018-02-11,60377
2018-02-12,60377
2018-02-13,60377
