date_obj,Pumpkin price
2018-07-17,12391
2018-07-18,12711
2018-07-19,12711
2018-07-20,12711
2018-07-21,12289
2018-07-22,12289
2018-07-23,12289
2018-07-24,12649
2018-07-25,12649
2018-07-26,12649
2018-07-27,12179
2018-07-28,12179
2018-07-29,12179
2018-07-30,12146
2018-07-31,12146
2018-08-01,12146
2018-08-02,12335
2018-08-03,12335
2018-08-04,12335
2018-08-05,12335
2018-08-06,11893
2018-08-07,11893
2018-08-08,11893
2018-08-09,11893
2018-08-10,11488
2018-08-11,11488
2018-08-12,11488
2018-08-14,11341
2018-08-16,11341
2018-08-17,10836
2018-08-18,10836
2018-08-19,10836
2018-08-20,10514
2018-08-21,10514
2018-08-22,10514
2018-08-23,10514
2018-08-24,10285
2018-08-25,10285
2018-08-26,10285
2018-08-27,9846
2018-08-28,9846
2018-08-29,9846
2018-08-30,9721
2018-08-31,9721
2018-09-01,9625
2018-09-02,9625
2018-09-03,9832
2018-09-04,10253
2018-09-05,10253
2018-09-06,10739
2018-09-07,10739
2018-09-08,11273
2018-09-09,11273
2018-09-10,11776
2018-09-11,11776
2018-09-12,11776
2018-09-13,12319
2018-09-14,12319
2018-09-15,12921
2018-09-16,12921
2018-09-17,12921
2018-09-18,13471
2018-09-19,13471
2018-09-20,13471
2018-09-21,13999
2018-09-22,13999
2018-09-23,14656
2018-09-24,14656
2018-09-25,15330
2018-09-26,15330
2018-09-27,16096
2018-09-28,16096
2018-09-29,16901
2018-09-30,16901
2018-10-02,18542
2018-10-03,19469
2018-10-04,19469
2018-10-05,20342
2018-10-06,21347
2018-10-07,21347
2018-10-08,20720
2018-10-09,20720
2018-10-10,19789
2018-10-11,19789
2018-10-12,18893
2018-10-13,18893
2018-10-14,17948
2018-10-15,17948
2018-10-16,17313
2018-10-17,17313
2018-10-18,16449
2018-10-19,16449
2018-10-20,16449
2018-10-21,15662
2018-10-22,15662
2018-10-23,14915
2018-10-24,14915
2018-10-25,14169
2018-10-26,13460
2018-10-27,12787
2018-10-28,12147
2018-10-29,11539
2018-10-30,10989
2018-10-31,10439
2018-11-01,9988
2018-11-03,9202
2018-11-04,8836
2018-11-05,8570
2018-11-06,8559
2018-11-07,8422
2018-11-08,8413
2018-11-09,8484
2018-11-10,8349
2018-11-11,8292
2018-11-12,8097
2018-11-13,7793
2018-11-14,7714
2018-11-15,7612
2018-11-16,7778
2018-11-17,7740
2018-11-18,7642
2018-11-19,7569
2018-11-20,7781
2018-11-21,7987
2018-11-22,8050
2018-11-23,8207
2018-11-24,8239
2018-11-25,8489
2018-11-26,8754
2018-11-27,9157
2018-11-28,9478
2018-11-29,9693
2018-12-01,9366
2018-12-02,8897
2018-12-03,8897
2018-12-04,8476
2018-12-05,8202
2018-12-07,7899
2018-12-09,7746
2018-12-10,7945
2018-12-11,7945
2018-12-12,7960
2018-12-13,7843
2018-12-14,7540
2018-12-15,7296
2018-12-16,7058
2018-12-17,7058
2018-12-18,7035
2018-12-19,6988
2018-12-20,6988
2018-12-21,6733
2018-12-22,6733
2018-12-23,6776
2018-12-24,7079
2018-12-25,7079
2018-12-26,7266
2018-12-27,7195
2018-12-28,7195
2018-12-29,7255
2018-12-30,7255
2018-12-31,7292
2019-01-01,7292
2019-01-02,7061
2019-01-03,7061
2019-01-04,7076
2019-01-05,6883
2019-01-06,6684
2019-01-08,6532
2019-01-10,6323
2019-01-11,6323
2019-01-12,6027
2019-01-13,6027
2019-01-14,5851
2019-01-15,5851
2019-01-16,5811
2019-01-17,5811
2019-01-18,5949
2019-01-19,5998
2019-01-20,5998
2019-01-21,5907
2019-01-22,5907
2019-01-23,5659
2019-01-24,5659
2019-01-25,5376
2019-01-26,5376
2019-01-28,5185
2019-01-29,5252
2019-01-30,5252
2019-01-31,5020
2019-02-01,4989
2019-02-02,4989
2019-02-03,4937
2019-02-04,4937
2019-02-05,4827
2019-02-06,4827
2019-02-07,4717
2019-02-08,4717
2019-02-09,4648
2019-02-10,4648
2019-02-11,4447
2019-02-12,4447
2019-02-13,4447
2019-02-14,4447
2019-02-15,4447
