date_obj,Iron%20hasta price
2018-07-24,330
2018-07-25,315
2018-07-26,315
2018-07-27,315
2018-07-28,300
2018-07-29,300
2018-07-30,300
2018-07-31,286
2018-08-01,286
2018-08-02,286
2018-08-03,286
2018-08-04,277
2018-08-05,277
2018-08-06,277
2018-08-07,277
2018-08-08,277
2018-08-09,277
2018-08-10,265
2018-08-11,265
2018-08-12,265
2018-08-14,265
2018-08-16,252
2018-08-17,252
2018-08-18,252
2018-08-19,252
2018-08-20,241
2018-08-21,241
2018-08-22,241
2018-08-23,241
2018-08-24,241
2018-08-25,232
2018-08-26,232
2018-08-27,232
2018-08-28,232
2018-08-29,232
2018-08-30,221
2018-08-31,221
2018-09-01,221
2018-09-02,221
2018-09-03,211
2018-09-04,211
2018-09-05,211
2018-09-06,211
2018-09-07,211
2018-09-08,200
2018-09-09,200
2018-09-10,200
2018-09-11,200
2018-09-12,200
2018-09-13,200
2018-09-14,190
2018-09-15,190
2018-09-16,190
2018-09-17,190
2018-09-18,190
2018-09-19,181
2018-09-20,181
2018-09-21,181
2018-09-22,181
2018-09-23,181
2018-09-24,172
2018-09-25,172
2018-09-26,172
2018-09-27,172
2018-09-28,172
2018-09-29,172
2018-09-30,165
2018-10-02,165
2018-10-03,165
2018-10-04,165
2018-10-05,157
2018-10-06,157
2018-10-07,157
2018-10-08,157
2018-10-09,150
2018-10-10,150
2018-10-11,150
2018-10-12,150
2018-10-13,143
2018-10-14,143
2018-10-15,143
2018-10-16,143
2018-10-17,143
2018-10-18,136
2018-10-19,136
2018-10-20,136
2018-10-21,136
2018-10-22,136
2018-10-23,136
2018-10-24,129
2018-10-25,129
2018-10-26,129
2018-10-27,129
2018-10-28,129
2018-10-29,122
2018-10-30,122
2018-10-31,122
2018-11-01,122
2018-11-03,115
2018-11-04,115
2018-11-05,115
2018-11-06,109
2018-11-07,109
2018-11-08,109
2018-11-09,109
2018-11-10,103
2018-11-11,103
2018-11-12,103
2018-11-13,97
2018-11-14,97
2018-11-15,97
2018-11-16,97
2018-11-17,97
2018-11-18,97
2018-11-19,97
2018-11-20,97
2018-11-21,97
2018-11-22,96
2018-11-23,96
2018-11-24,96
2018-11-25,96
2018-11-26,96
2018-11-27,93
2018-11-28,93
2018-11-29,93
2018-12-01,93
2018-12-02,88
2018-12-03,88
2018-12-04,88
2018-12-05,84
2018-12-07,84
2018-12-09,84
2018-12-10,80
2018-12-11,80
2018-12-12,80
2018-12-13,80
2018-12-14,78
2018-12-15,78
2018-12-16,78
2018-12-17,78
2018-12-18,74
2018-12-19,74
2018-12-20,74
2018-12-21,74
2018-12-22,71
2018-12-23,71
2018-12-24,71
2018-12-25,71
2018-12-26,73
2018-12-27,73
2018-12-28,73
2018-12-29,73
2018-12-30,72
2018-12-31,72
2019-01-01,72
2019-01-02,72
2019-01-03,72
2019-01-04,68
2019-01-05,68
2019-01-06,68
2019-01-08,66
2019-01-10,66
2019-01-11,63
2019-01-12,63
2019-01-13,60
2019-01-14,60
2019-01-15,58
2019-01-16,58
2019-01-17,58
2019-01-18,56
2019-01-19,56
2019-01-20,56
2019-01-21,53
2019-01-22,53
2019-01-23,53
2019-01-24,50
2019-01-25,50
2019-01-26,50
2019-01-27,47
2019-01-28,47
2019-01-29,45
2019-01-30,45
2019-01-31,45
2019-02-01,42
2019-02-02,42
2019-02-03,42
2019-02-04,42
2019-02-05,40
2019-02-06,40
2019-02-07,40
2019-02-08,40
2019-02-09,38
2019-02-10,38
2019-02-11,38
2019-02-12,38
2019-02-13,36
2019-02-14,36
2019-02-15,36
2019-02-16,34
2019-02-17,34
2019-02-18,34
2019-02-19,34
2019-02-20,32
2019-02-21,32
2019-02-22,32
2019-02-23,30
2019-02-24,30
2019-02-25,30
2019-02-26,29
2019-02-27,29
2019-02-28,29
2019-03-01,29
2019-03-02,29
2019-03-03,27
2019-03-04,27
2019-03-05,27
2019-03-06,25
2019-03-07,25
2019-03-08,25
2019-03-09,25
2019-03-10,23
2019-03-11,23
2019-03-12,23
