date_obj,Rune%20cane price
2017-07-03,8404
2017-07-04,8385
2017-07-05,8385
2017-07-06,8289
2017-07-07,8289
2017-07-08,8276
2017-07-13,8420
2017-07-14,8442
2017-07-15,8442
2017-07-16,8428
2017-07-17,8428
2017-07-18,8363
2017-07-19,8363
2017-07-20,8323
2017-07-21,8356
2017-07-22,8450
2017-07-23,8450
2017-07-24,8401
2017-07-25,8401
2017-07-26,8478
2017-07-27,8478
2017-07-28,8523
2017-07-29,8523
2017-07-30,8404
2017-07-31,8404
2017-08-01,8419
2017-08-02,8501
2017-08-03,8501
2017-08-04,8511
2017-08-05,8248
2017-08-06,8248
2017-08-09,8275
2017-08-10,8367
2017-08-11,8367
2017-08-12,8517
2017-08-13,8517
2017-08-14,8479
2017-08-15,8479
2017-08-17,8452
2017-08-18,8452
2017-08-19,8409
2017-08-20,8444
2017-08-21,8444
2017-08-22,8685
2017-08-23,8685
2017-08-24,8583
2017-08-25,8583
2017-08-26,8362
2017-08-27,8359
2017-08-28,8359
2017-08-29,8299
2017-08-30,8510
2017-08-31,8510
2017-09-01,8510
2017-09-02,8467
2017-09-03,8467
2017-09-04,8413
2017-09-05,8470
2017-09-06,8470
2017-09-07,8365
2017-09-08,8365
2017-09-09,8335
2017-09-10,8412
2017-09-11,8833
2017-09-12,9193
2017-09-13,9653
2017-09-14,10136
2017-09-15,10136
2017-09-16,10590
2017-09-17,11007
2017-09-19,11544
2017-09-20,11668
2017-09-21,11668
2017-09-22,11394
2017-09-23,11394
2017-09-24,10920
2017-09-25,10421
2017-09-26,10421
2017-09-27,9930
2017-09-28,9628
2017-09-29,9245
2017-09-30,9245
2017-10-01,9048
2017-10-02,9048
2017-10-03,8698
2017-10-04,8698
2017-10-05,8551
2017-10-06,8551
2017-10-07,8588
2017-10-08,8588
2017-10-09,8407
2017-10-10,8441
2017-10-11,8441
2017-10-12,8545
2017-10-13,8545
2017-10-14,8485
2017-10-15,8485
2017-10-16,8492
2017-10-17,8492
2017-10-18,8521
2017-10-19,8521
2017-10-20,8474
2017-10-21,8474
2017-10-22,8336
2017-10-23,8336
2017-10-24,8548
2017-10-25,8575
2017-10-26,8575
