date_obj,Jar%20of%20dirt price
2018-12-09,6269
2018-12-10,6269
2018-12-11,6280
2018-12-12,6280
2018-12-13,6028
2018-12-14,6028
2018-12-15,5741
2018-12-16,5627
2018-12-17,5627
2018-12-18,5746
2018-12-19,5746
2018-12-20,5910
2018-12-21,5910
2018-12-22,6058
2018-12-23,6203
2018-12-24,6203
2018-12-25,6367
2018-12-26,6367
2018-12-27,6552
2018-12-28,6552
2018-12-29,6600
2018-12-30,6600
2018-12-31,6707
2019-01-01,6707
2019-01-02,6693
2019-01-03,6693
2019-01-04,6615
2019-01-05,6739
2019-01-06,6738
2019-01-08,6694
2019-01-10,6632
2019-01-11,6474
2019-01-12,6422
2019-01-13,6383
2019-01-14,6139
2019-01-15,5925
2019-01-16,5732
2019-01-17,5751
2019-01-18,5751
2019-01-19,5783
2019-01-20,5822
2019-01-21,5822
2019-01-22,5665
2019-01-23,5665
2019-01-25,5731
2019-01-26,5817
2019-01-27,5770
2019-01-28,5770
2019-01-29,5810
2019-01-30,5810
2019-01-31,5737
2019-02-01,5615
2019-02-02,5615
2019-02-03,5726
2019-02-04,5726
2019-02-05,5907
2019-02-06,5907
2019-02-07,5906
2019-02-08,5906
2019-02-09,6055
2019-02-10,6055
2019-02-11,6080
2019-02-12,6080
2019-02-13,5965
2019-02-14,5965
2019-02-15,5666
2019-02-16,5393
2019-02-17,5148
2019-02-18,4913
2019-02-19,4712
2019-02-20,4712
2019-02-21,4692
2019-02-22,4692
2019-02-23,4873
2019-02-24,4873
2019-02-25,4991
2019-02-26,4991
2019-02-27,5076
2019-02-28,5076
2019-03-01,5177
2019-03-02,5177
2019-03-03,5330
2019-03-04,5330
2019-03-05,5520
2019-03-06,5520
2019-03-07,5633
2019-03-08,5633
2019-03-09,5361
2019-03-10,5104
2019-03-11,4871
2019-03-12,4641
2019-03-13,4641
2019-03-14,4408
2019-03-15,4368
2019-03-16,4368
2019-03-17,4586
2019-03-18,4586
2019-03-19,4745
2019-03-20,4745
2019-03-21,4660
2019-03-22,4660
2019-03-23,4571
2019-03-24,4571
2019-03-25,4730
2019-03-26,4730
2019-03-27,4935
2019-03-28,4935
2019-03-29,5182
2019-03-30,5182
