date_obj,Machete price
2017-05-22,264
2017-05-23,268
2017-05-24,268
2017-05-25,272
2017-05-26,272
2017-05-27,269
2017-05-28,269
2017-05-29,270
2017-05-30,270
2017-05-31,268
2017-06-01,268
2017-06-02,272
2017-06-03,272
2017-06-06,269
2017-06-07,269
2017-06-08,269
2017-06-09,265
2017-06-10,265
2017-06-11,261
2017-06-12,261
2017-06-13,261
2017-06-14,256
2017-06-15,256
2017-06-16,261
2017-06-17,261
2017-06-18,260
2017-06-19,260
2017-06-20,263
2017-06-21,263
2017-06-22,263
2017-06-23,265
2017-06-24,265
2017-06-25,268
2017-06-26,268
2017-06-27,271
2017-06-28,271
2017-06-29,274
2017-06-30,274
2017-07-01,274
2017-07-02,274
2017-07-03,274
2017-07-04,279
2017-07-05,279
2017-07-06,279
2017-07-07,274
2017-07-08,274
2017-07-13,254
2017-07-14,250
2017-07-15,250
2017-07-16,250
2017-07-17,239
2017-07-18,239
2017-07-19,228
2017-07-20,228
2017-07-21,230
2017-07-22,230
2017-07-23,233
2017-07-24,233
2017-07-25,233
2017-07-26,235
2017-07-27,235
2017-07-28,244
2017-07-29,244
2017-07-30,242
2017-07-31,242
2017-08-01,242
2017-08-02,247
2017-08-03,247
2017-08-04,247
2017-08-05,250
2017-08-06,250
2017-08-09,253
2017-08-10,252
2017-08-11,252
2017-08-12,252
2017-08-13,254
2017-08-14,254
2017-08-15,257
2017-08-16,257
2017-08-17,257
2017-08-18,257
2017-08-19,257
2017-08-20,261
2017-08-21,261
2017-08-22,251
2017-08-23,251
2017-08-24,251
2017-08-25,240
2017-08-26,240
2017-08-27,245
2017-08-28,245
2017-08-29,245
2017-08-30,255
2017-08-31,255
2017-09-01,255
2017-09-02,265
2017-09-03,265
2017-09-04,265
2017-09-05,273
2017-09-06,273
2017-09-07,274
2017-09-08,274
2017-09-09,270
2017-09-10,270
2017-09-11,268
2017-09-12,268
2017-09-13,268
2017-09-14,274
2017-09-15,274
2017-09-16,274
2017-09-17,285
2017-09-19,285
2017-09-20,284
2017-09-21,284
2017-09-22,275
2017-09-23,275
2017-09-24,275
2017-09-25,270
2017-09-26,270
2017-09-27,270
2017-09-28,272
2017-09-29,272
2017-09-30,276
2017-10-01,276
2017-10-02,277
2017-10-03,277
2017-10-04,277
2017-10-05,282
2017-10-06,282
2017-10-07,286
2017-10-08,286
2017-10-09,286
2017-10-10,286
2017-10-11,286
2017-10-12,288
2017-10-13,288
2017-10-14,300
2017-10-15,300
2017-10-16,300
2017-10-17,309
2017-10-18,309
2017-10-19,321
2017-10-20,321
2017-10-21,321
2017-10-22,322
2017-10-23,322
2017-10-24,322
2017-10-25,318
2017-10-26,318
2017-10-27,305
2017-10-28,305
2017-10-29,305
2017-10-30,293
2017-10-31,293
2017-11-01,293
2017-11-02,284
