date_obj,Adamant%20gold-trimmed%20set%20(sk) price
2016-10-11,134182
2016-10-12,134182
2016-10-13,134182
2016-10-14,129710
2016-10-15,129710
2016-10-16,129710
2016-10-17,129710
2016-10-18,129710
2016-10-19,129710
2016-10-20,129710
2016-10-21,129710
2016-10-22,129710
2016-10-23,129710
2016-10-24,129710
2016-10-25,129710
2016-10-26,129710
2016-10-27,129710
2016-10-28,129710
2016-10-29,129710
2016-10-30,129710
2016-10-31,129710
2016-11-01,129710
2016-11-02,129710
2016-11-03,129710
2016-11-04,129710
2016-11-05,129710
2016-11-06,129710
2016-11-07,130002
2016-11-08,130002
2016-11-09,130002
2016-11-10,130002
2016-11-11,130002
2016-11-12,130002
2016-11-13,130002
2016-11-14,130002
2016-11-15,130002
2016-12-07,128595
2016-12-08,128595
2016-12-09,128595
2016-12-10,128595
2016-12-11,128595
2016-12-12,128595
2016-12-13,128595
2016-12-14,129520
2016-12-15,129520
2016-12-16,129520
2016-12-17,129520
2016-12-18,129520
2016-12-19,129520
2016-12-20,129520
2016-12-21,129520
2016-12-22,129520
2016-12-23,129520
2016-12-24,129520
2016-12-25,129520
2016-12-26,129520
2016-12-27,129520
2016-12-28,129520
2016-12-29,129520
2016-12-30,129520
2016-12-31,129520
2017-01-01,129520
2017-01-02,129520
2017-01-03,129520
2017-01-04,129520
2017-01-05,133387
2017-01-06,133387
2017-01-07,133387
2017-01-08,133387
2017-01-09,133387
2017-01-10,133387
2017-01-11,133387
2017-01-12,133387
2017-01-13,133387
2017-01-14,133387
2017-01-15,133387
2017-01-16,133387
2017-01-17,133387
2017-01-18,133387
2017-01-19,133387
2017-01-20,133387
2017-01-21,133387
2017-01-22,133387
2017-01-23,133387
2017-01-27,129965
2017-01-28,129965
2017-01-29,129965
2017-01-30,129965
2017-01-31,129965
2017-02-01,129965
2017-02-02,129965
2017-02-03,129965
2017-02-04,129965
2017-02-05,129965
2017-02-06,129965
2017-02-07,129965
2017-02-08,129965
2017-02-09,129965
2017-02-10,129965
2017-02-11,129965
2017-02-12,129965
2017-02-13,124150
2017-02-14,124150
2017-02-15,124150
2017-02-16,124150
2017-02-17,124150
2017-02-18,124150
2017-02-19,124150
2017-02-20,124150
2017-02-21,124150
2017-02-22,124150
2017-02-23,124150
2017-02-24,124150
2017-02-25,124150
2017-02-26,124150
2017-02-27,124150
2017-02-28,124150
2017-03-01,124150
2017-03-02,124150
2017-03-03,124150
2017-03-04,120444
2017-03-05,120444
2017-03-06,120444
2017-03-07,120444
2017-03-08,120444
2017-03-09,120444
2017-03-10,120444
2017-03-11,120444
2017-03-12,120444
2017-03-13,120444
2017-03-14,120444
2017-03-15,120444
2017-03-16,120444
2017-03-17,120444
2017-03-18,120444
2017-03-19,120444
2017-03-20,120444
2017-03-21,120444
2017-03-22,120444
2017-03-23,120444
2017-03-24,116403
2017-03-25,116403
2017-03-26,116403
2017-03-27,116403
2017-03-28,116403
2017-03-29,116403
2017-03-30,116403
2017-03-31,116403
2017-04-01,116403
2017-04-02,116403
2017-04-03,116403
2017-04-04,116403
2017-04-05,116403
2017-04-12,112310
2017-04-13,112310
2017-04-14,112310
2017-04-15,112310
2017-04-16,112310
2017-04-17,112310
2017-04-18,112310
2017-04-19,112310
2017-04-20,112310
2017-04-21,112310
2017-04-22,112310
2017-04-23,112310
2017-04-24,109994
2017-04-25,109994
2017-04-26,109994
2017-04-27,109994
2017-04-28,109994
2017-04-29,109994
2017-04-30,109994
2017-05-01,109994
2017-05-02,109994
2017-05-03,109994
2017-05-04,109994
2017-05-05,109994
2017-05-06,109994
2017-05-07,109994
2017-05-08,109994
2017-05-09,109994
2017-05-10,109994
2017-05-11,107581
2017-05-12,107581
2017-05-13,107581
2017-05-14,107581
2017-05-15,107581
2017-05-16,107581
2017-05-17,107581
2017-05-18,107581
2017-05-19,107581
2017-05-20,107581
2017-05-21,107581
2017-05-22,107581
2017-05-23,107581
2017-05-24,107581
2017-05-25,107581
2017-05-26,107581
2017-05-27,107581
2017-05-28,107581
2017-05-29,107581
2017-05-30,107581
2017-05-31,105719
2017-06-01,105719
2017-06-02,105719
2017-06-03,105719
2017-06-04,105719
2017-06-05,105719
2017-06-06,105719
2017-06-07,105719
2017-06-08,105719
2017-06-09,105719
2017-06-10,105719
2017-06-11,105719
2017-06-12,105719
2017-06-13,105719
2017-06-14,105719
2017-06-15,105719
2017-06-16,105670
2017-06-17,105670
2017-06-18,105670
2017-06-19,105670
2017-06-20,105670
2017-06-21,105670
2017-06-22,105670
2017-06-23,105670
2017-06-24,105670
2017-06-25,105670
2017-06-26,105670
2017-06-27,105670
2017-06-28,105670
2017-06-29,105670
2017-06-30,105670
2017-07-01,105670
2017-07-02,105670
2017-07-03,105670
2017-07-04,105670
2017-07-05,105670
2017-07-06,105670
2017-07-07,105670
2017-07-08,107471
2017-07-09,107471
2017-07-13,107471
2017-07-14,107471
2017-07-15,107471
2017-07-16,107471
2017-07-17,107471
2017-07-18,107471
2017-07-19,107471
2017-07-20,107471
2017-07-21,107471
2017-07-22,107471
2017-07-23,103244
2017-07-24,103244
2017-07-25,103244
2017-07-26,103244
2017-07-27,103244
2017-07-28,103244
2017-07-29,103244
2017-07-30,103244
2017-07-31,103244
2017-08-01,103244
2017-08-02,103244
2017-08-03,103244
2017-08-04,103244
2017-08-05,103244
2017-08-06,103244
2017-08-07,103244
2017-08-08,103244
2017-08-09,100783
2017-08-10,100783
2017-08-11,100783
2017-08-12,100783
2017-08-13,100783
2017-08-14,100783
2017-08-15,100783
2017-08-16,100783
2017-08-17,100783
2017-08-18,100783
2017-08-19,100783
2017-08-20,100783
2017-08-21,100783
2017-08-22,100783
2017-08-23,100783
2017-08-24,100783
2017-08-25,100783
2017-08-26,100783
2017-08-27,99870
2017-08-28,99870
2017-08-29,99870
2017-08-30,99870
2017-08-31,99870
2017-09-01,99870
2017-09-02,99870
2017-09-03,99870
2017-09-04,99870
2017-09-05,99870
2017-09-06,99870
2017-09-07,99870
2017-09-08,99870
2017-09-09,99870
2017-09-10,99870
2017-09-11,96590
2017-09-12,96590
2017-09-13,96590
2017-09-14,96590
2017-09-15,96590
2017-09-16,96590
2017-09-17,96590
2017-09-18,96590
2017-09-19,96590
2017-09-20,96590
2017-09-21,96590
2017-09-22,96590
2017-09-23,96590
2017-09-24,96590
2017-09-25,96590
2017-09-26,98797
2017-09-27,98797
2017-09-28,98797
2017-09-29,98797
2017-09-30,98797
2017-10-01,98797
2017-10-02,98797
2017-10-03,98797
2017-10-04,98797
2017-10-05,98797
2017-10-06,98797
2017-10-07,98797
2017-10-08,98797
2017-10-09,98797
2017-10-10,98797
2017-10-11,98797
2017-10-12,98797
2017-10-13,98797
2017-10-14,98797
2017-10-15,99939
2017-10-16,99939
2017-10-17,99939
2017-10-18,99939
2017-10-19,99939
2017-10-20,99939
2017-10-21,99939
2017-10-22,99939
2017-10-23,99939
2017-10-24,99939
2017-10-25,99939
2017-10-26,99939
2017-10-27,99939
2017-10-28,99939
2017-10-29,99939
2017-10-30,99225
2017-10-31,99225
2017-11-01,99225
2017-11-02,99225
2017-11-03,99225
2017-11-04,99225
2017-11-05,99225
2017-11-06,99225
2017-11-07,99225
2017-11-08,99225
2017-11-09,99225
2017-11-10,99225
2017-11-11,99225
2017-11-12,99225
2017-11-13,99225
2017-11-14,99225
2017-11-15,98009
2017-11-16,98009
2017-11-17,98009
2017-11-18,98009
2017-11-19,98009
2017-11-20,98009
2017-11-21,98009
2017-11-22,98009
2017-11-23,98009
2017-11-24,98009
2017-11-25,98009
2017-11-26,98009
2017-11-27,98009
2017-11-28,98009
2017-11-29,97076
2017-11-30,97076
2017-12-01,97076
2017-12-02,97076
2017-12-03,97076
2017-12-04,97076
2017-12-05,97076
2017-12-06,97076
2017-12-07,97076
2017-12-08,97076
2017-12-09,97076
2017-12-10,97076
2017-12-11,97076
2017-12-12,99023
2017-12-13,99023
2017-12-14,99023
2017-12-15,99023
2017-12-16,99023
2017-12-17,99023
2017-12-18,99023
2017-12-19,99023
2017-12-20,99023
2017-12-21,99023
2017-12-22,99023
2017-12-23,99023
2017-12-24,99023
2017-12-25,99023
2017-12-26,101164
2017-12-27,101164
2017-12-28,101164
2017-12-29,101164
2017-12-30,101164
2017-12-31,101164
2018-01-01,101164
2018-01-02,101164
2018-01-03,101164
2018-01-04,101164
2018-01-05,101164
2018-01-06,101164
2018-01-07,101164
2018-01-08,100611
2018-01-09,100611
2018-01-10,100611
2018-01-11,100611
2018-01-12,100611
2018-01-13,100611
2018-01-14,100611
2018-01-15,100611
2018-01-16,100611
2018-01-17,100611
2018-01-18,100611
2018-01-19,100611
2018-01-20,100992
2018-01-21,100992
2018-01-22,100992
2018-01-23,100992
2018-01-24,100992
2018-01-25,100992
2018-01-26,100992
2018-01-27,99230
2018-01-28,99230
2018-01-29,99230
2018-01-30,99230
2018-01-31,99230
2018-02-01,99230
2018-02-02,99230
2018-02-03,98146
2018-02-04,98146
2018-02-05,98146
2018-02-06,98146
2018-02-07,98146
2018-02-08,98146
2018-02-09,98146
2018-02-10,100753
2018-02-11,100753
2018-02-12,100753
2018-02-13,100753
2018-02-14,100753
2018-02-15,100753
2018-02-16,104520
2018-02-17,104520
2018-02-18,104520
2018-02-19,104520
2018-02-20,104520
2018-02-21,104520
2018-02-22,104520
2018-02-23,104520
2018-02-24,107999
2018-02-25,107999
2018-02-26,107999
2018-02-27,107999
2018-02-28,107999
2018-03-01,107999
2018-03-02,107999
2018-03-03,110712
2018-03-04,110712
2018-03-05,110712
2018-03-06,110712
2018-03-07,110712
2018-03-08,110712
2018-03-09,110712
2018-03-10,110712
2018-03-11,111175
2018-03-12,111175
2018-03-13,111175
2018-03-14,111175
2018-03-15,111175
2018-03-16,111175
2018-03-17,111175
2018-03-18,113977
2018-03-19,113977
2018-03-20,113977
2018-03-21,113977
2018-03-22,113977
2018-03-23,113977
2018-03-24,113977
2018-03-25,113977
2018-03-26,113977
2018-03-27,113284
2018-03-28,113284
2018-03-29,113284
2018-03-30,113284
2018-03-31,113284
2018-04-01,113284
2018-04-02,113284
2018-04-03,111146
2018-04-04,111146
2018-04-05,111146
2018-04-06,111146
2018-04-07,111146
2018-04-08,111146
2018-04-09,111146
2018-04-10,108681
2018-04-11,108681
2018-04-12,108681
2018-04-13,108681
2018-04-14,108681
2018-04-15,108681
2018-04-16,107080
2018-04-17,107080
2018-04-18,107080
2018-04-19,107080
2018-04-20,107080
2018-04-21,107080
2018-04-22,107080
2018-04-23,102605
2018-04-24,102605
2018-04-25,102605
2018-04-26,102605
2018-04-27,102605
2018-04-28,102605
2018-04-29,102605
2018-04-30,104744
2018-05-01,104744
2018-05-02,104744
2018-05-03,104744
2018-05-04,104744
2018-05-05,104744
2018-05-06,104744
2018-05-07,106122
2018-05-08,106122
2018-05-09,106122
2018-05-10,106122
2018-05-11,106122
2018-05-12,106157
2018-05-13,106157
2018-05-14,106157
2018-05-15,106157
2018-05-16,106157
2018-05-17,106157
2018-05-18,103743
2018-05-19,103743
2018-05-20,103743
2018-05-21,103743
2018-05-22,103743
2018-05-23,100172
2018-05-24,100172
2018-05-25,100172
2018-05-26,100172
2018-05-27,100172
2018-05-28,97386
2018-05-29,97386
2018-05-30,97386
2018-05-31,97386
2018-06-01,97386
2018-06-02,94244
2018-06-03,94244
2018-06-04,94244
2018-06-05,94244
2018-06-06,94244
2018-06-07,92840
2018-06-08,92840
2018-06-09,92840
2018-06-10,92840
2018-06-11,92840
2018-06-12,92840
2018-06-13,91155
2018-06-14,91155
2018-06-15,91155
2018-06-16,91155
2018-06-17,91155
2018-06-18,91155
2018-06-19,91387
2018-06-20,91387
2018-06-21,91387
2018-06-22,91387
2018-06-23,91387
2018-06-24,91387
2018-06-25,90134
2018-06-26,90134
2018-06-27,90134
2018-06-28,90134
2018-06-29,90134
2018-06-30,90134
2018-07-01,89002
2018-07-02,89002
2018-07-03,89002
2018-07-04,89002
2018-07-05,89002
2018-07-06,89002
2018-07-07,87386
2018-07-08,87386
2018-07-09,87386
2018-07-10,87386
2018-07-11,87386
2018-07-12,87386
2018-07-13,87386
2018-07-14,87386
2018-07-15,87386
2018-07-16,87279
2018-07-17,87279
2018-07-18,87279
2018-07-19,87279
2018-07-20,86432
2018-07-21,86432
2018-07-22,86432
2018-07-23,86432
2018-07-24,86074
2018-07-25,86074
2018-07-26,86074
2018-07-27,86074
2018-07-28,85183
2018-07-29,85183
2018-07-30,85183
2018-07-31,85183
2018-08-01,84896
2018-08-02,84896
2018-08-03,84896
2018-08-04,84896
2018-08-05,87749
2018-08-06,87749
2018-08-07,87749
2018-08-08,87749
2018-08-09,87749
2018-08-10,89628
2018-08-11,89628
