date_obj,Wrath%20talisman price
2019-09-14,730
2019-09-15,697
2019-09-16,682
2019-09-17,690
2019-09-18,709
2019-09-19,696
2019-09-20,668
2019-09-21,687
2019-09-22,706
2019-09-23,715
2019-09-24,699
2019-09-25,704
2019-09-26,722
2019-09-27,728
2019-09-28,731
2019-09-29,699
2019-09-30,691
2019-10-01,702
2019-10-02,669
2019-10-03,635
2019-10-04,659
2019-10-05,668
2019-10-06,683
2019-10-07,671
2019-10-08,704
2019-10-09,740
2019-10-10,769
2019-10-11,798
2019-10-12,759
2019-10-13,735
2019-10-14,716
2019-10-15,738
2019-10-16,749
2019-10-17,711
2019-10-18,675
2019-10-19,670
2019-10-20,674
2019-10-21,706
2019-10-22,694
2019-10-23,691
2019-10-24,659
2019-10-25,650
2019-10-26,654
2019-10-27,662
2019-10-28,657
2019-10-29,672
2019-10-30,662
2019-10-31,692
2019-11-01,712
2019-11-02,703
2019-11-03,731
2019-11-04,762
2019-11-05,769
2019-11-06,808
2019-11-07,830
2019-11-08,805
2019-11-09,782
2019-11-10,773
2019-11-11,737
2019-11-12,706
2019-11-13,711
2019-11-14,747
2019-11-15,782
2019-11-16,795
2019-11-17,795
2019-11-18,820
2019-11-19,779
2019-11-20,809
2019-11-21,782
2019-11-22,764
2019-11-23,732
2019-11-24,769
2019-11-25,803
2019-11-26,818
2019-11-27,802
2019-11-28,831
2019-11-29,852
2019-11-30,853
2019-12-01,831
2019-12-02,873
2019-12-03,917
2019-12-04,911
2019-12-05,871
2019-12-06,892
2019-12-07,858
2019-12-08,835
2019-12-09,834
2019-12-10,865
2019-12-11,841
2019-12-12,868
2019-12-13,842
2019-12-14,828
2019-12-15,801
2019-12-16,805
2019-12-17,808
2019-12-18,842
2019-12-19,871
2019-12-20,843
2019-12-21,822
2019-12-22,785
2019-12-23,745
2019-12-24,743
2019-12-25,771
2019-12-26,771
2019-12-27,752
2019-12-28,714
2019-12-29,740
2019-12-30,758
2019-12-31,721
2020-01-01,711
2020-01-02,705
2020-01-03,673
2020-01-04,686
2020-01-05,653
2020-01-06,658
2020-01-07,657
2020-01-08,677
2020-01-09,711
2020-01-10,747
2020-01-11,760
2020-01-12,750
2020-01-13,781
2020-01-14,803
2020-01-15,828
2020-01-16,786
2020-01-17,746
2020-01-18,750
2020-01-19,738
2020-01-20,725
2020-01-21,713
2020-01-22,677
2020-01-23,695
2020-01-24,730
2020-01-25,754
2020-01-26,738
2020-01-27,746
2020-01-28,770
2020-01-29,803
2020-01-30,815
2020-01-31,856
2020-02-01,899
2020-02-02,944
2020-02-03,992
2020-02-04,1042
2020-02-05,1095
2020-02-06,1131
2020-02-07,1112
2020-02-08,1102
2020-02-09,1051
2020-02-10,1062
2020-02-11,1093
2020-02-12,1109
2020-02-13,1101
2020-02-14,1155
2020-02-15,1206
2020-02-16,1258
2020-02-17,1240
2020-02-18,1251
2020-02-19,1303
2020-02-20,1302
2020-02-21,1310
2020-02-22,1252
2020-02-23,1206
2020-02-24,1207
2020-02-25,1173
2020-02-26,1153
2020-02-27,1154
2020-02-28,1140
2020-02-29,1084
2020-03-01,1045
2020-03-02,1010
2020-03-03,1006
2020-03-04,1022
2020-03-05,1004
2020-03-06,1055
2020-03-07,1100
2020-03-08,1101
2020-03-09,1108
2020-03-10,1131
2020-03-11,1187
2020-03-12,1168
2020-03-13,1165
2020-03-14,1169
2020-03-15,1164
2020-03-16,1183
2020-03-17,1239
2020-03-18,1301
2020-03-19,1240
2020-03-20,1226
2020-03-21,1203
2020-03-22,1150
2020-03-23,1100
2020-03-24,1104
2020-03-25,1141
2020-03-26,1163
2020-03-27,1129
2020-03-28,1111
2020-03-29,1119
2020-03-30,1161
2020-03-31,1172
2020-04-01,1156
2020-04-02,1163
2020-04-03,1222
2020-04-04,1281
2020-04-05,1335
2020-04-06,1355
2020-04-07,1319
2020-04-08,1254
2020-04-09,1202
2020-04-10,1166
2020-04-11,1107
2020-04-12,1080
2020-04-13,1061
2020-04-14,1074
2020-04-15,1086
2020-04-16,1089
2020-04-17,1068
2020-04-18,1065
2020-04-19,1075
2020-04-20,1094
2020-04-21,1069
2020-04-22,1025
2020-04-23,1022
2020-04-24,976
2020-04-25,936
2020-04-26,977
2020-04-27,1026
2020-04-28,1070
2020-04-29,1018
2020-04-30,992
2020-05-01,942
2020-05-02,919
2020-05-03,892
2020-05-04,879
2020-05-05,862
2020-05-06,820
2020-05-07,840
2020-05-08,802
2020-05-09,830
2020-05-10,839
2020-05-11,828
2020-05-12,824
2020-05-13,799
