date_obj,Obsidian%20cape%20(r) price
2018-10-27,3459859
2018-10-28,3453117
2018-10-29,3413815
2018-10-30,3357788
2018-10-31,3451647
2018-11-01,3614013
2018-11-03,3983919
2018-11-04,4178537
2018-11-05,4387464
2018-11-06,4605605
2018-11-07,4835886
2018-11-08,5077681
2018-11-09,5331566
2018-11-10,5597826
2018-11-11,5877718
2018-11-12,6122469
2018-11-13,6277872
2018-11-15,6099654
2018-11-16,6077305
2018-11-17,6055831
2018-11-18,6024955
2018-11-19,5934258
2018-11-20,5840630
2018-11-21,5827773
2018-11-22,5838085
2018-11-23,5796041
2018-11-24,5729879
2018-11-25,5709462
2018-11-26,5658015
2018-11-27,5563310
2018-11-28,5442911
2018-11-29,5306160
2018-12-01,5342434
2018-12-02,5441523
2018-12-03,5617460
2018-12-04,5598530
2018-12-05,5536744
2018-12-07,5718216
2018-12-09,5980644
2018-12-10,5900346
2018-12-11,5996583
2018-12-12,5947457
2018-12-13,5894716
2018-12-14,5808288
2018-12-15,5635989
2018-12-16,5628638
2018-12-17,5601665
2018-12-18,5556729
2018-12-19,5529489
2018-12-20,5419042
2018-12-21,5411076
2018-12-22,5368978
2018-12-23,5271228
2018-12-24,5232882
2018-12-25,5224278
2018-12-26,5208712
2018-12-27,5155379
2018-12-28,4986393
2018-12-29,4776752
2018-12-30,4613416
2018-12-31,4552849
2019-01-01,4444880
2019-01-02,4436719
2019-01-03,4435665
2019-01-04,4307914
2019-01-05,4177208
2019-01-06,4205222
2019-01-08,4166280
2019-01-10,3933468
2019-01-11,3736794
2019-01-12,3654757
2019-01-13,3485583
2019-01-14,3398581
2019-01-15,3324688
2019-01-16,3437191
2019-01-17,3479916
2019-01-18,3511994
2019-01-19,3652685
2019-01-20,3651076
2019-01-21,3588788
2019-01-22,3690478
2019-01-23,3686884
2019-01-24,3670323
2019-01-25,3667357
2019-01-26,3732207
2019-01-27,3751943
2019-01-28,3769769
2019-01-29,3818679
2019-01-30,3917393
2019-01-31,3880963
2019-02-01,3915077
2019-02-02,3943006
2019-02-03,4059401
2019-02-04,4071403
2019-02-05,4085855
2019-02-06,4035268
2019-02-07,3955060
2019-02-08,3925809
2019-02-09,3888326
2019-02-10,3843015
2019-02-11,3819029
2019-02-12,3712517
2019-02-13,3670225
2019-02-14,3657248
2019-02-15,3648322
2019-02-16,3582294
2019-02-17,3618712
2019-02-18,3599308
2019-02-19,3700846
2019-02-20,3800255
2019-02-21,3724739
2019-02-22,3710890
2019-02-23,3768756
2019-02-24,3852950
2019-02-25,3789000
2019-02-26,3753918
2019-02-27,3731547
2019-02-28,3693298
2019-03-01,3728398
2019-03-02,3705609
2019-03-03,3708482
2019-03-04,3715000
2019-03-05,3687739
2019-03-06,3646539
2019-03-07,3639038
2019-03-08,3632480
2019-03-09,3620555
2019-03-10,3645918
2019-03-11,3610373
2019-03-12,3587889
2019-03-13,3583698
2019-03-14,3576502
2019-03-15,3546422
2019-03-16,3535365
2019-03-17,3511362
2019-03-18,3503608
2019-03-19,3537710
2019-03-20,3533166
2019-03-21,3518210
2019-03-22,3488555
2019-03-23,3520671
2019-03-24,3502028
2019-03-25,3455360
2019-03-26,3405609
2019-03-27,3383185
2019-03-28,3367434
2019-03-29,3325547
2019-03-30,3325547
2019-03-31,3373106
2019-04-01,3373097
2019-04-02,3362903
2019-04-03,3349736
2019-04-04,3344518
2019-04-05,3267334
2019-04-06,3249777
2019-04-07,3234234
2019-04-08,3226699
2019-04-09,3231227
2019-04-10,3247179
2019-04-11,3215810
2019-04-12,3079643
2019-04-13,3075456
2019-04-14,3008899
2019-04-15,2887439
2019-04-16,2810518
2019-04-17,2673966
2019-04-18,2615216
2019-04-19,2541609
2019-04-20,2527670
2019-04-21,2522713
2019-04-22,2514656
2019-04-23,2470385
2019-04-24,2456846
2019-04-25,2446251
2019-04-26,2513855
2019-04-27,2546351
2019-04-28,2587568
2019-04-29,2601651
2019-04-30,2644838
2019-05-01,2733525
2019-05-02,2807798
2019-05-03,2866319
2019-05-04,3002012
2019-05-05,3017552
2019-05-06,3015802
2019-05-07,2966100
2019-05-08,2948531
2019-05-09,2945346
2019-05-10,2953416
2019-05-11,2958840
2019-05-12,2955367
2019-05-13,2914987
2019-05-14,2900838
2019-05-15,2883224
2019-05-16,2822785
2019-05-17,2803013
2019-05-18,2838212
2019-05-19,2852367
2019-05-20,2861966
2019-05-21,2858556
2019-05-22,2861987
2019-05-23,2868046
2019-05-24,2853199
2019-05-25,2843376
2019-05-26,2840063
2019-05-27,2844400
2019-05-28,2817149
2019-05-29,2821589
2019-05-30,2824697
2019-05-31,2791601
2019-06-01,2868131
2019-06-02,3007179
2019-06-03,3157497
2019-06-04,3305789
2019-06-05,3251020
2019-06-06,3088469
2019-06-07,2934045
2019-06-08,2821476
2019-06-09,2756221
2019-06-10,2756221
2019-06-11,2833525
2019-06-12,2975202
2019-06-13,3052239
2019-06-14,3070145
2019-06-15,3214844
2019-06-16,3330728
2019-06-17,3293488
2019-06-18,3194745
2019-06-19,3093074
2019-06-20,3033686
2019-06-21,2989860
2019-06-22,2923248
2019-06-23,2876538
2019-06-24,2824494
2019-06-25,2836059
2019-06-26,2850943
2019-06-27,2894288
2019-06-28,2905482
2019-06-29,2976847
2019-06-30,2975638
2019-07-01,2974000
2019-07-02,2987151
2019-07-03,2911291
2019-07-04,2898360
2019-07-05,2977720
2019-07-06,3065145
2019-07-07,3035915
2019-07-08,2997299
2019-07-09,2926920
2019-07-10,2885372
2019-07-11,2837706
2019-07-12,2829128
2019-07-13,2840776
2019-07-14,2822094
2019-07-15,2807470
2019-07-16,2782185
2019-07-17,2792187
2019-07-18,2812532
2019-07-19,2843893
2019-07-20,2935863
2019-07-21,2882515
2019-07-22,2858832
2019-07-23,2859492
2019-07-24,2841403
2019-07-25,2826643
2019-07-26,2836570
2019-07-27,2872706
2019-07-28,2910572
2019-07-29,2914460
2019-07-30,2900813
2019-07-31,2882892
2019-08-01,2856345
2019-08-02,2847750
2019-08-03,2854567
2019-08-04,2898079
2019-08-05,2870740
2019-08-06,2858239
2019-08-07,2845866
2019-08-08,2867063
2019-08-09,2932680
2019-08-10,2971463
2019-08-11,2977270
2019-08-12,2974079
2019-08-13,2935153
2019-08-14,2857928
2019-08-15,2834034
2019-08-16,2788961
2019-08-17,2777762
2019-08-18,2850014
2019-08-19,2815658
2019-08-20,2795614
2019-08-21,2779936
2019-08-22,2812735
2019-08-23,2912449
2019-08-24,2898331
2019-08-24,2898331
2019-08-25,2814336
2019-08-25,2814336
2019-08-26,2817561
2019-08-26,2817561
2019-08-27,2792363
2019-08-27,2792363
2019-08-28,2763400
2019-08-29,2737892
2019-08-30,2748567
2019-08-31,2757080
2019-09-01,2791484
2019-09-02,2805113
2019-09-03,2794013
2019-09-04,2790390
2019-09-05,2840518
2019-09-06,2844587
2019-09-07,2985370
2019-09-08,3007128
2019-09-09,3006902
2019-09-10,2993192
2019-09-11,2977401
2019-09-12,2951967
2019-09-13,2977929
2019-09-14,3024314
2019-09-15,2992678
2019-09-16,2970666
2019-09-17,2953378
2019-09-18,2950505
2019-09-19,2921626
2019-09-20,2913693
2019-09-21,2899282
2019-09-22,2883936
2019-09-23,2877149
2019-09-24,2877149
2019-09-25,2880242
2019-09-26,2865839
2019-09-27,2907330
2019-09-28,2898018
2019-09-29,2832691
2019-09-30,2831089
2019-10-01,2808247
2019-10-02,2805200
2019-10-03,2778093
2019-10-04,2754292
2019-10-05,2680435
2019-10-06,2668948
2019-10-07,2678579
2019-10-08,2698527
2019-10-09,2698522
2019-10-10,2750283
2019-10-11,2798050
2019-10-12,2807319
2019-10-13,2864195
2019-10-14,2951867
2019-10-15,2984098
2019-10-16,2933288
2019-10-17,2907655
2019-10-18,2888809
2019-10-19,2886048
2019-10-20,2864355
2019-10-21,2845882
2019-10-22,2829354
2019-10-23,2806447
2019-10-24,2795707
2019-10-25,2783275
2019-10-26,2788388
2019-10-27,2835812
2019-10-28,2941895
2019-10-29,2958953
2019-10-30,2939236
2019-10-31,2930813
2019-11-01,2936371
2019-11-02,2926577
2019-11-03,2904600
2019-11-04,2891083
2019-11-05,2891083
2019-11-06,2846591
2019-11-07,2835167
2019-11-08,2831060
2019-11-09,2859696
2019-11-10,2843223
2019-11-11,2829277
2019-11-12,2810784
2019-11-13,2761834
2019-11-14,2739519
2019-11-15,2689069
2019-11-16,2676448
2019-11-17,2690061
2019-11-18,2704418
2019-11-19,2665311
2019-11-20,2691837
2019-11-21,2691837
2019-11-22,2701887
2019-11-23,2706540
2019-11-24,2757993
2019-11-25,2835940
2019-11-26,2886892
2019-11-27,2844249
2019-11-28,2847689
2019-11-29,2958634
2019-11-30,3028475
2019-12-01,3133242
2019-12-02,3137862
2019-12-03,3123136
2019-12-04,3099325
2019-12-05,3099325
2019-12-06,3030078
2019-12-07,2970793
2019-12-08,2953577
2019-12-09,2955954
2019-12-10,2938363
2019-12-11,2955236
2019-12-12,3011079
2019-12-13,2982329
2019-12-14,3056237
2019-12-15,3064050
2019-12-16,3033615
2019-12-17,3033424
2019-12-18,3002652
2019-12-19,2987280
2019-12-20,2963160
2019-12-21,2900592
2019-12-22,2826873
2019-12-23,2748151
2019-12-24,2684040
2019-12-25,2708764
2019-12-26,2753203
2019-12-27,2858145
2019-12-28,2976159
2019-12-29,2889573
2019-12-30,2851355
2019-12-31,2807452
2020-01-01,2782746
2020-01-02,2738052
2020-01-03,2734983
2020-01-04,2755886
2020-01-05,2792759
2020-01-06,2819144
2020-01-07,2810110
2020-01-08,2835982
2020-01-09,2835866
2020-01-10,2813904
2020-01-11,2818829
2020-01-12,2886577
2020-01-13,2852600
2020-01-14,2813017
2020-01-15,2766688
2020-01-16,2753735
2020-01-17,2807142
2020-01-18,2817075
2020-01-19,2784276
2020-01-20,2775856
2020-01-21,2755968
2020-01-22,2673417
2020-01-23,2569867
2020-01-24,2562853
2020-01-25,2547283
2020-01-26,2587098
2020-01-27,2617031
2020-01-28,2729059
2020-01-29,2688662
2020-01-30,2652466
2020-01-31,2632753
2020-02-01,2583596
2020-02-02,2622139
2020-02-03,2529406
2020-02-04,2481259
2020-02-05,2476216
2020-02-06,2463790
2020-02-07,2480099
2020-02-08,2463862
2020-02-09,2423753
2020-02-10,2414787
2020-02-11,2329985
2020-02-12,2350195
2020-02-13,2343926
2020-02-14,2288915
2020-02-15,2302771
2020-02-16,2275516
2020-02-17,2314521
2020-02-18,2352314
2020-02-19,2338247
2020-02-20,2332221
2020-02-21,2332221
2020-02-22,2317232
2020-02-23,2286241
2020-02-24,2238424
2020-02-25,2228277
2020-02-26,2261170
