date_obj,Mithril%20kiteshield%20(g) price
2017-03-04,11061
2017-03-05,10687
2017-03-06,10450
2017-03-07,10079
2017-03-08,9749
2017-03-09,9559
2017-03-10,9726
2017-03-11,9892
2017-03-12,9891
2017-03-13,9838
2017-03-14,9843
2017-03-15,9960
2017-03-16,9804
2017-03-17,9519
2017-03-18,9681
2017-03-19,9920
2017-03-20,9996
2017-03-21,9905
2017-03-22,9516
2017-03-23,9142
2017-03-24,8892
2017-03-25,8892
2017-03-26,8535
2017-03-27,8628
2017-03-28,8602
2017-03-29,8242
2017-03-30,8204
2017-03-31,8067
2017-04-01,8145
2017-04-02,8151
2017-04-03,8119
2017-04-04,8146
2017-04-12,8166
2017-04-13,8019
2017-04-14,7788
2017-04-15,7537
2017-04-16,7352
2017-04-17,6984
2017-04-18,6753
2017-04-19,6617
2017-04-20,6620
2017-04-21,6890
2017-04-22,6915
2017-04-23,6627
2017-04-24,6477
2017-04-25,6332
2017-04-26,6230
2017-04-27,5944
2017-04-28,5693
2017-04-29,5479
2017-04-30,5270
2017-05-01,5251
2017-05-02,5178
2017-05-03,5004
2017-05-04,4796
2017-05-05,4904
2017-05-06,4940
2017-05-07,4925
2017-05-08,4745
2017-05-09,4866
2017-05-10,5009
2017-05-11,5146
2017-05-12,5067
2017-05-13,5158
2017-05-14,5288
2017-05-15,5435
2017-05-16,5470
2017-05-17,5445
2017-05-18,5382
2017-05-19,5166
2017-05-20,5059
2017-05-21,5059
2017-05-22,4960
2017-05-23,4770
2017-05-24,4590
2017-05-25,4411
2017-05-26,4312
2017-05-27,4113
2017-05-28,4204
2017-05-29,4286
2017-05-30,4305
2017-05-31,4365
2017-06-01,4361
2017-06-02,4430
2017-06-03,4442
2017-06-06,4399
2017-06-07,4455
2017-06-08,4455
2017-06-09,4537
2017-06-10,4520
2017-06-11,4727
2017-06-12,4727
2017-06-13,4881
2017-06-14,5045
2017-06-15,5072
2017-06-16,5142
2017-06-17,5091
2017-06-18,5085
2017-06-19,5085
2017-06-20,4982
2017-06-21,4924
2017-06-22,4924
2017-06-23,4925
2017-06-24,5097
2017-06-25,5241
2017-06-26,5247
2017-06-27,5092
2017-06-28,5041
2017-06-29,5178
2017-06-30,5200
2017-07-01,5200
2017-07-02,5176
2017-07-03,5408
2017-07-04,5628
2017-07-05,5628
2017-07-06,5841
2017-07-07,5841
2017-07-08,5582
2017-07-13,5537
2017-07-14,5730
2017-07-15,5730
2017-07-16,5859
2017-07-17,5828
2017-07-18,5668
2017-07-19,5748
2017-07-20,5700
2017-07-21,5639
2017-07-22,5641
2017-07-23,5855
2017-07-24,5705
2017-07-25,5600
2017-07-26,5719
2017-07-27,5961
2017-07-28,6197
2017-07-29,6177
2017-07-30,6280
2017-07-31,6280
2017-08-01,6372
2017-08-02,6380
2017-08-03,6626
2017-08-04,6845
2017-08-05,6799
2017-08-06,7079
2017-08-09,7321
2017-08-10,7586
2017-08-11,7664
2017-08-12,7945
2017-08-13,8154
2017-08-14,7918
2017-08-15,7606
2017-08-16,7301
2017-08-17,7144
2017-08-18,7144
2017-08-19,7147
2017-08-20,7256
2017-08-21,7427
2017-08-22,7685
2017-08-23,8057
2017-08-24,8405
2017-08-25,8786
2017-08-26,8965
2017-08-27,9311
2017-08-28,9593
2017-08-29,9593
2017-08-30,10047
2017-08-31,10277
2017-09-01,10277
2017-09-02,10408
2017-09-03,10408
2017-09-04,10725
2017-09-05,11003
2017-09-06,11091
2017-09-07,11295
2017-09-08,11295
2017-09-09,11780
2017-09-10,12252
2017-09-11,12213
2017-09-12,12213
2017-09-13,12788
2017-09-14,13173
2017-09-15,13173
2017-09-16,13315
2017-09-17,12957
2017-09-19,12573
2017-09-20,12134
2017-09-21,11527
2017-09-22,11116
2017-09-23,10870
2017-09-24,10585
2017-09-25,10356
2017-09-26,10073
2017-09-27,9621
2017-09-28,9181
2017-09-29,8788
2017-09-30,8737
2017-10-01,8677
2017-10-02,8775
2017-10-03,8896
2017-10-04,8896
2017-10-05,8765
2017-10-06,8546
2017-10-07,8207
2017-10-08,8245
2017-10-09,8401
2017-10-10,8553
2017-10-11,8553
2017-10-12,8579
2017-10-13,8505
2017-10-14,8079
2017-10-15,8079
2017-10-16,8005
2017-10-17,8005
2017-10-18,7955
2017-10-19,8179
