date_obj,Dareeyak%20teleport%20(tablet) price
2017-04-21,3089
2017-04-22,2987
2017-04-23,2987
2017-04-24,2872
2017-04-25,2872
2017-04-26,2833
2017-04-27,2833
2017-04-28,2784
2017-04-29,2784
2017-04-30,2854
2017-05-01,2854
2017-05-02,2954
2017-05-03,2954
2017-05-04,3081
2017-05-05,3081
2017-05-06,3081
2017-05-07,3176
2017-05-08,3176
2017-05-09,3017
2017-05-10,3017
2017-05-11,3017
2017-05-12,2954
2017-05-13,2954
2017-05-14,2954
2017-05-15,2951
2017-05-16,2951
2017-05-17,2951
2017-05-18,2958
2017-05-19,2958
2017-05-20,3014
2017-05-21,3014
2017-05-22,3014
2017-05-23,2998
2017-05-24,2998
2017-05-25,2998
2017-05-26,2940
2017-05-27,2940
2017-05-28,2940
2017-05-29,2895
2017-05-30,2895
2017-05-31,2895
2017-06-01,2929
2017-06-02,2929
2017-06-03,2929
2017-06-04,2885
2017-06-05,2885
2017-06-06,2808
2017-06-07,2808
2017-06-08,2808
2017-06-09,2813
2017-06-10,2813
2017-06-11,2753
2017-06-12,2753
2017-06-13,2753
2017-06-14,2698
2017-06-15,2698
2017-06-16,2698
2017-06-17,2691
2017-06-18,2691
2017-06-19,2691
2017-06-20,2723
2017-06-21,2723
2017-06-22,2723
2017-06-23,2762
2017-06-24,2762
2017-06-25,2762
2017-06-26,2789
2017-06-27,2789
2017-06-28,2789
2017-06-29,2793
2017-06-30,2793
2017-07-01,2793
2017-07-02,2793
2017-07-03,2755
2017-07-04,2755
2017-07-05,2755
2017-07-06,2816
2017-07-07,2816
2017-07-08,2816
2017-07-13,2957
2017-07-14,2957
2017-07-15,3062
2017-07-16,3062
2017-07-17,3062
2017-07-18,3124
2017-07-19,3124
2017-07-20,3124
2017-07-21,3165
2017-07-22,3165
2017-07-23,3165
2017-07-24,3160
2017-07-25,3160
2017-07-26,3177
2017-07-27,3177
2017-07-28,3177
2017-07-29,3146
2017-07-30,3146
2017-07-31,3146
2017-08-01,3071
2017-08-02,3071
2017-08-03,3071
2017-08-04,3018
2017-08-05,3018
2017-08-06,2954
2017-08-09,2917
2017-08-10,2917
2017-08-11,2917
2017-08-12,2955
2017-08-13,2955
2017-08-14,2955
2017-08-15,2934
2017-08-16,2934
2017-08-17,2867
2017-08-18,2867
2017-08-19,2867
2017-08-20,2868
2017-08-21,2868
2017-08-22,2868
2017-08-23,2967
2017-08-24,2967
2017-08-25,2967
2017-08-26,2972
2017-08-27,2972
2017-08-28,2972
2017-08-29,2909
2017-08-30,2909
2017-08-31,2909
2017-09-01,2777
2017-09-03,2777
2017-09-04,2679
2017-09-05,2679
2017-09-06,2554
2017-09-07,2554
2017-09-08,2554
2017-09-09,2502
2017-09-10,2502
2017-09-11,2502
2017-09-12,2433
2017-09-13,2433
2017-09-14,2433
2017-09-15,2366
2017-09-16,2366
2017-09-17,2331
2017-09-18,2331
2017-09-19,2331
2017-09-20,2373
2017-09-21,2373
2017-09-22,2373
2017-09-23,2373
2017-09-24,2386
2017-09-25,2386
2017-09-26,2386
2017-09-27,2352
2017-09-28,2352
2017-09-29,2352
2017-09-30,2250
2017-10-01,2250
2017-10-02,2250
2017-10-03,2170
2017-10-04,2170
2017-10-05,2170
2017-10-06,2243
2017-10-07,2243
2017-10-08,2243
2017-10-09,2195
2017-10-10,2195
2017-10-11,2195
2017-10-12,2198
2017-10-13,2198
2017-10-14,2198
2017-10-15,2195
2017-10-16,2195
2017-10-17,2195
2017-10-18,2228
2017-10-19,2228
2017-10-20,2228
2017-10-21,2296
2017-10-22,2296
2017-10-23,2383
2017-10-24,2383
2017-10-25,2429
2017-10-26,2429
2017-10-27,2456
2017-10-28,2456
2017-10-29,2350
2017-10-30,2350
2017-10-31,2232
2017-11-01,2232
2017-11-02,2232
2017-11-03,2160
2017-11-04,2160
2017-11-05,2190
2017-11-06,2190
2017-11-07,2190
2017-11-08,2190
2017-11-09,2190
2017-11-10,2190
2017-11-11,2225
2017-11-12,2225
2017-11-13,2273
2017-11-14,2273
2017-11-15,2273
2017-11-16,2296
2017-11-17,2296
2017-11-18,2296
2017-11-19,2217
2017-11-20,2217
2017-11-21,2217
2017-11-22,2220
2017-11-23,2220
2017-11-24,2220
2017-11-25,2326
2017-11-26,2326
2017-11-27,2326
2017-11-28,2326
2017-11-29,2321
2017-11-30,2321
2017-12-01,2321
2017-12-02,2204
2017-12-03,2204
2017-12-04,2204
2017-12-05,2093
2017-12-06,2093
2017-12-07,2093
2017-12-08,2110
2017-12-09,2110
2017-12-10,2110
2017-12-11,2036
2017-12-12,2036
2017-12-13,2036
2017-12-14,2065
2017-12-15,2065
2017-12-16,2065
2017-12-17,2049
2017-12-18,2049
2017-12-19,2049
2017-12-20,2061
2017-12-21,2061
2017-12-22,2061
2017-12-23,2102
2017-12-24,2102
2017-12-25,2102
2017-12-26,2116
