date_obj,Carved%20teak%20magic%20wardrobe%20(flatpack) price
2018-01-16,71
2018-01-17,71
2018-01-18,71
2018-01-19,71
2018-01-20,71
2018-01-21,71
2018-01-22,71
2018-01-23,71
2018-01-24,67
2018-01-25,67
2018-01-26,67
2018-01-27,67
2018-01-28,67
2018-01-29,67
2018-01-30,67
2018-01-31,67
2018-02-01,67
2018-02-02,67
2018-02-03,67
2018-02-04,67
2018-02-05,67
2018-02-06,67
2018-02-07,67
2018-02-08,67
2018-02-09,67
2018-02-10,67
2018-02-11,67
2018-02-12,67
2018-02-13,67
2018-02-14,67
2018-02-15,67
2018-02-16,67
2018-02-17,67
2018-02-18,67
2018-02-19,67
2018-02-20,67
2018-02-21,67
2018-02-22,67
2018-02-23,67
2018-02-24,67
2018-02-25,67
2018-02-26,67
2018-02-27,67
2018-02-28,67
2018-03-01,67
2018-03-02,67
2018-03-03,67
2018-03-04,67
2018-03-05,67
2018-03-06,67
2018-03-07,67
2018-03-08,67
2018-03-09,67
2018-03-10,67
2018-03-11,67
2018-03-12,67
2018-03-13,67
2018-03-14,67
2018-03-15,67
2018-03-16,67
2018-03-17,67
2018-03-18,67
2018-03-20,67
2018-03-21,67
2018-03-23,67
2018-03-24,67
2018-03-25,67
2018-03-26,67
2018-03-27,67
2018-03-28,67
2018-03-29,67
2018-03-30,67
2018-03-31,67
2018-04-01,67
2018-04-02,67
2018-04-03,67
2018-04-04,67
2018-04-05,67
2018-04-06,67
2018-04-07,67
2018-04-08,67
2018-04-09,67
2018-04-10,67
2018-04-11,67
2018-04-12,67
2018-04-13,67
2018-04-14,67
2018-04-15,67
2018-04-16,67
2018-04-17,67
2018-04-18,67
2018-04-19,67
2018-04-20,67
2018-04-21,67
2018-04-22,67
2018-04-23,67
2018-04-24,67
2018-04-25,67
2018-04-26,67
2018-04-27,67
2018-04-28,67
2018-04-29,67
2018-04-30,67
2018-05-01,67
2018-05-02,67
2018-05-03,67
2018-05-04,67
2018-05-05,67
2018-05-06,67
2018-05-07,67
2018-05-08,67
2018-05-09,67
2018-05-10,67
2018-05-11,67
2018-05-12,67
2018-05-13,67
2018-05-14,67
2018-05-15,67
2018-05-16,67
2018-05-17,67
2018-05-18,67
2018-05-19,67
2018-05-20,67
2018-05-21,67
2018-05-22,67
2018-05-23,67
2018-05-24,67
2018-05-25,67
2018-05-26,67
2018-05-27,67
2018-05-28,67
2018-05-29,67
2018-05-30,67
2018-05-31,67
2018-06-01,67
2018-06-02,67
2018-06-03,67
2018-06-04,67
2018-06-05,67
2018-06-06,67
2018-06-07,67
2018-06-08,63
2018-06-09,63
2018-06-10,63
2018-06-11,63
2018-06-12,63
2018-06-13,63
2018-06-14,63
2018-06-15,63
2018-06-16,63
2018-06-17,63
2018-06-18,63
2018-06-19,63
2018-06-20,63
2018-06-21,63
2018-06-22,63
2018-06-23,63
2018-06-24,63
2018-06-25,63
2018-06-26,63
2018-06-27,63
2018-06-28,63
2018-06-29,63
2018-06-30,63
2018-07-01,63
2018-07-02,63
2018-07-03,63
2018-07-04,63
2018-07-05,63
2018-07-06,63
2018-07-07,63
2018-07-08,63
2018-07-09,63
2018-07-10,63
2018-07-11,63
2018-07-12,63
2018-07-13,63
2018-07-14,63
2018-07-15,63
2018-07-16,63
2018-07-17,63
2018-07-18,63
2018-07-19,63
2018-07-20,63
2018-07-21,63
2018-07-22,63
2018-07-23,63
2018-07-24,63
2018-07-25,63
2018-07-26,63
2018-07-27,63
2018-07-28,63
2018-07-29,63
2018-07-30,63
2018-07-31,63
2018-08-01,63
2018-08-02,63
2018-08-03,63
2018-08-04,63
2018-08-05,63
2018-08-06,63
2018-08-07,63
2018-08-08,63
2018-08-09,63
2018-08-10,63
2018-08-11,63
2018-08-12,63
2018-08-14,63
2018-08-16,63
2018-08-17,63
2018-08-18,63
2018-08-19,63
2018-08-20,63
2018-08-21,63
2018-08-22,63
2018-08-23,63
2018-08-24,63
2018-08-25,63
2018-08-26,63
2018-08-27,63
2018-08-28,63
2018-08-29,63
2018-08-30,63
2018-08-31,63
2018-09-01,63
2018-09-02,63
2018-09-03,63
2018-09-04,63
2018-09-05,63
2018-09-06,63
2018-09-07,63
2018-09-08,63
2018-09-09,63
2018-09-10,63
2018-09-11,63
2018-09-12,63
2018-09-13,63
2018-09-14,63
2018-09-15,63
2018-09-16,59
2018-09-17,59
2018-09-18,59
2018-09-19,59
2018-09-20,59
2018-09-21,59
2018-09-22,59
2018-09-23,59
2018-09-24,59
2018-09-25,59
2018-09-26,59
2018-09-27,59
2018-09-28,59
2018-09-29,59
2018-09-30,59
2018-10-01,59
2018-10-02,59
2018-10-03,59
2018-10-04,59
2018-10-05,59
2018-10-06,59
2018-10-07,59
2018-10-08,59
2018-10-09,59
2018-10-10,59
2018-10-11,59
2018-10-12,59
2018-10-13,59
2018-10-14,59
2018-10-15,59
2018-10-16,59
2018-10-17,59
2018-10-18,59
2018-10-19,59
2018-10-20,59
2018-10-21,59
2018-10-22,59
2018-10-23,59
2018-10-24,59
2018-10-25,59
2018-10-26,59
2018-10-27,59
2018-10-28,59
2018-10-29,59
2018-10-30,59
2018-10-31,59
2018-11-01,59
2018-11-03,59
2018-11-04,59
2018-11-05,59
2018-11-06,59
2018-11-07,59
2018-11-08,59
2018-11-09,59
2018-11-10,59
2018-11-11,59
2018-11-12,59
2018-11-13,59
2018-11-14,59
2018-11-15,59
2018-11-16,59
2018-11-17,59
2018-11-18,59
2018-11-19,59
2018-11-20,59
2018-11-21,59
2018-11-22,59
2018-11-23,59
2018-11-24,59
2018-11-25,59
2018-11-26,59
2018-11-27,59
2018-11-28,59
2018-11-29,59
2018-12-01,59
2018-12-02,59
2018-12-03,59
2018-12-04,60
2018-12-05,60
2018-12-07,60
2018-12-09,60
2018-12-10,60
2018-12-11,60
2018-12-12,60
2018-12-13,60
2018-12-14,60
2018-12-15,60
2018-12-16,60
2018-12-17,60
2018-12-18,60
2018-12-19,60
2018-12-20,60
2018-12-21,60
2018-12-22,60
2018-12-23,60
2018-12-24,60
2018-12-25,60
2018-12-26,60
2018-12-27,60
2018-12-28,60
2018-12-29,60
2018-12-30,60
