date_obj,Amulet%20of%20magic price
2019-08-20,620
2019-08-21,614
2019-08-22,605
2019-08-23,606
2019-08-24,598
2019-08-24,598
2019-08-25,569
2019-08-25,569
2019-08-26,580
2019-08-27,582
2019-08-27,582
2019-08-28,586
2019-08-29,593
2019-08-30,604
2019-08-31,611
2019-09-01,626
2019-09-02,615
2019-09-03,621
2019-09-04,624
2019-09-05,635
2019-09-06,639
2019-09-07,636
2019-09-08,637
2019-09-09,658
2019-09-10,670
2019-09-11,676
2019-09-12,679
2019-09-13,680
2019-09-14,684
2019-09-15,681
2019-09-16,679
2019-09-17,676
2019-09-18,677
2019-09-19,690
2019-09-20,696
2019-09-21,693
2019-09-22,679
2019-09-23,675
2019-09-24,644
2019-09-25,654
2019-09-26,667
2019-09-27,657
2019-09-28,647
2019-09-29,620
2019-09-30,627
2019-10-01,640
2019-10-02,651
2019-10-03,649
2019-10-04,653
2019-10-05,663
2019-10-06,669
2019-10-07,668
2019-10-08,666
2019-10-09,676
2019-10-10,673
2019-10-11,652
2019-10-12,651
2019-10-13,658
2019-10-14,651
2019-10-15,647
2019-10-16,650
2019-10-17,651
2019-10-18,658
2019-10-19,654
2019-10-20,653
2019-10-21,670
2019-10-22,672
2019-10-23,672
2019-10-24,683
2019-10-25,682
2019-10-26,687
2019-10-27,673
2019-10-28,669
2019-10-29,658
2019-10-30,648
2019-10-31,644
2019-11-01,644
2019-11-02,644
2019-11-03,648
2019-11-04,648
2019-11-05,645
2019-11-06,642
2019-11-07,634
2019-11-08,639
2019-11-09,645
2019-11-10,643
2019-11-11,636
2019-11-12,627
2019-11-13,641
2019-11-14,637
2019-11-15,650
2019-11-16,663
2019-11-17,652
2019-11-18,656
2019-11-19,670
2019-11-20,672
2019-11-21,680
2019-11-22,698
2019-11-23,717
2019-11-24,733
2019-11-25,728
2019-11-26,749
2019-11-27,764
2019-11-28,771
2019-11-29,763
2019-11-30,751
2019-12-01,781
2019-12-02,780
2019-12-03,777
2019-12-04,748
2019-12-05,740
2019-12-06,757
2019-12-07,774
2019-12-08,744
2019-12-09,734
2019-12-10,732
2019-12-11,741
2019-12-12,776
2019-12-13,799
2019-12-14,809
2019-12-15,777
2019-12-16,752
2019-12-17,746
2019-12-18,753
2019-12-19,777
2019-12-20,794
2019-12-21,771
2019-12-22,748
2019-12-23,734
2019-12-24,731
2019-12-25,719
2019-12-26,713
2019-12-27,714
2019-12-28,714
2019-12-29,708
2019-12-30,705
2019-12-31,699
2020-01-01,686
2020-01-02,684
2020-01-03,692
2020-01-04,691
2020-01-05,695
2020-01-06,681
2020-01-07,683
2020-01-08,670
2020-01-09,674
2020-01-10,679
2020-01-11,680
2020-01-12,690
2020-01-13,689
2020-01-14,696
2020-01-15,696
2020-01-16,689
2020-01-17,674
2020-01-18,658
2020-01-19,662
2020-01-20,666
2020-01-21,670
2020-01-22,672
2020-01-23,685
2020-01-24,697
2020-01-25,694
2020-01-26,681
2020-01-27,682
2020-01-28,691
2020-01-29,705
2020-01-30,705
2020-01-31,700
2020-02-01,693
2020-02-02,687
2020-02-03,687
2020-02-04,694
2020-02-05,689
2020-02-06,697
2020-02-07,708
2020-02-08,708
2020-02-09,708
2020-02-10,719
2020-02-11,732
2020-02-12,735
2020-02-13,723
2020-02-14,713
2020-02-15,692
2020-02-16,683
2020-02-17,700
2020-02-18,703
2020-02-19,704
2020-02-20,704
2020-02-21,720
2020-02-22,726
2020-02-23,715
2020-02-24,706
2020-02-25,691
2020-02-26,689
2020-02-27,669
2020-02-28,674
2020-02-29,686
2020-03-01,683
2020-03-02,691
2020-03-03,694
2020-03-04,689
2020-03-05,661
2020-03-06,666
2020-03-07,645
2020-03-08,642
2020-03-09,636
2020-03-10,648
2020-03-11,635
2020-03-12,629
2020-03-13,637
2020-03-14,651
2020-03-15,641
2020-03-16,648
2020-03-17,653
2020-03-18,642
2020-03-19,625
2020-03-20,630
2020-03-21,623
2020-03-22,632
2020-03-23,620
2020-03-24,633
2020-03-25,640
2020-03-26,646
2020-03-27,645
2020-03-28,641
2020-03-29,636
2020-03-30,626
2020-03-31,622
2020-04-01,609
2020-04-02,607
2020-04-03,588
2020-04-04,592
2020-04-05,596
2020-04-06,599
2020-04-07,603
2020-04-08,612
2020-04-09,620
2020-04-10,608
2020-04-11,608
2020-04-12,600
2020-04-13,588
2020-04-14,585
2020-04-15,593
2020-04-16,598
2020-04-17,595
2020-04-18,600
2020-04-19,598
2020-04-20,606
2020-04-21,600
2020-04-22,600
2020-04-23,612
2020-04-24,615
2020-04-25,618
2020-04-26,617
2020-04-27,609
2020-04-28,608
2020-04-29,611
2020-04-30,611
2020-05-01,593
2020-05-02,598
2020-05-03,595
2020-05-04,594
2020-05-05,586
2020-05-06,585
2020-05-07,586
2020-05-08,593
2020-05-09,596
2020-05-10,598
2020-05-11,602
2020-05-12,608
2020-05-13,603
