date_obj,Topaz%20bracelet price
2017-12-24,1472
2017-12-25,1472
2017-12-26,1472
2017-12-27,1472
2017-12-28,1472
2017-12-29,1472
2017-12-30,1541
2017-12-31,1541
2018-01-01,1541
2018-01-02,1541
2018-01-03,1541
2018-01-04,1541
2018-01-05,1541
2018-01-06,1541
2018-01-07,1541
2018-01-08,1541
2018-01-09,1541
2018-01-10,1541
2018-01-11,1541
2018-01-12,1541
2018-01-13,1541
2018-01-14,1541
2018-01-15,1541
2018-01-16,1600
2018-01-17,1600
2018-01-18,1600
2018-01-19,1600
2018-01-20,1600
2018-01-21,1600
2018-01-22,1600
2018-01-23,1600
2018-01-24,1600
2018-01-25,1600
2018-01-26,1600
2018-01-27,1658
2018-01-28,1658
2018-01-29,1658
2018-01-30,1658
2018-02-01,1658
2018-02-02,1658
2018-02-03,1658
2018-02-04,1725
2018-02-05,1725
2018-02-06,1725
2018-02-07,1725
2018-02-08,1725
2018-02-09,1725
2018-02-10,1725
2018-02-11,1725
2018-02-12,1725
2018-02-13,1725
2018-02-14,1785
2018-02-15,1785
2018-02-16,1785
2018-02-17,1785
2018-02-18,1785
2018-02-19,1785
2018-02-20,1785
2018-02-21,1785
2018-02-22,1785
2018-02-23,1785
2018-02-24,1865
2018-02-25,1865
2018-02-26,1865
2018-02-27,1865
2018-02-28,1865
2018-03-01,1865
2018-03-02,1865
2018-03-03,1865
2018-03-04,1865
2018-03-05,1865
2018-03-06,1865
2018-03-07,1945
2018-03-08,1945
2018-03-09,1945
2018-03-10,1945
2018-03-11,1945
2018-03-12,1945
2018-03-13,1945
2018-03-14,1945
2018-03-15,1945
2018-03-16,1945
2018-03-17,1945
2018-03-18,2019
2018-03-19,2019
2018-03-20,2019
2018-03-21,2019
2018-03-23,2019
2018-03-24,2019
2018-03-26,2019
2018-03-27,2019
2018-03-28,2019
2018-03-29,2019
2018-03-30,2019
2018-03-31,2088
2018-04-01,2088
2018-04-02,2088
2018-04-03,2088
2018-04-04,2088
2018-04-05,2088
2018-04-06,2088
2018-04-08,2088
2018-04-09,2088
2018-04-10,2088
2018-04-11,2088
2018-04-12,2088
2018-04-13,2088
2018-04-14,2184
2018-04-16,2184
2018-04-17,2184
2018-04-18,2184
2018-04-19,2184
2018-04-20,2184
2018-04-21,2184
2018-04-22,2184
2018-04-23,2184
2018-04-24,2184
2018-04-25,2184
2018-04-26,2184
2018-04-27,2255
2018-04-28,2255
2018-04-29,2255
2018-04-30,2255
2018-05-01,2255
2018-05-02,2255
2018-05-03,2255
2018-05-04,2255
2018-05-05,2255
2018-05-06,2255
2018-05-07,2255
2018-05-08,2255
2018-05-09,2255
2018-05-10,2334
2018-05-11,2334
2018-05-12,2334
2018-05-13,2334
2018-05-14,2334
2018-05-15,2334
2018-05-16,2440
2018-05-17,2440
2018-05-18,2440
2018-05-19,2440
2018-05-20,2440
2018-05-21,2530
2018-05-22,2530
2018-05-23,2530
2018-05-24,2530
2018-05-25,2530
2018-05-26,2530
2018-05-27,2530
2018-05-28,2530
2018-05-29,2649
2018-05-30,2649
2018-05-31,2649
2018-06-01,2649
2018-06-02,2649
2018-06-03,2649
2018-06-04,2649
2018-06-05,2748
2018-06-06,2748
2018-06-07,2748
2018-06-08,2748
2018-06-09,2748
2018-06-10,2748
2018-06-11,2748
2018-06-12,2748
2018-06-13,2846
2018-06-14,2846
2018-06-15,2846
2018-06-16,2846
2018-06-17,2846
2018-06-18,2846
2018-06-19,2846
2018-06-20,2846
2018-06-21,2846
2018-06-22,2923
2018-06-23,2923
2018-06-24,2923
2018-06-25,2923
2018-06-26,2923
2018-06-27,2923
2018-06-28,2923
2018-06-29,2923
2018-06-30,2923
2018-07-01,3057
2018-07-02,3057
2018-07-03,3057
2018-07-04,3057
2018-07-05,3057
2018-07-06,3057
2018-07-07,3057
2018-07-08,3057
2018-07-09,3057
2018-07-10,3175
2018-07-11,3175
2018-07-12,3175
2018-07-13,3175
2018-07-14,3175
2018-07-15,3175
2018-07-16,3175
2018-07-17,3175
2018-07-18,3301
2018-07-19,3301
2018-07-20,3301
2018-07-21,3301
2018-07-22,3301
2018-07-23,3301
2018-07-24,3301
2018-07-25,3301
2018-07-26,3441
2018-07-27,3441
2018-07-28,3441
2018-07-29,3441
2018-07-30,3441
2018-07-31,3441
2018-08-01,3441
2018-08-02,3565
2018-08-03,3565
2018-08-04,3565
2018-08-05,3565
2018-08-06,3565
2018-08-07,3565
2018-08-08,3722
2018-08-09,3722
2018-08-10,3722
2018-08-11,3722
2018-08-12,3722
2018-08-14,3859
2018-08-16,3859
2018-08-17,3859
2018-08-18,3859
2018-08-19,3859
2018-08-20,4037
2018-08-21,4037
2018-08-22,4037
2018-08-23,4037
2018-08-24,4037
2018-08-25,4037
2018-08-26,4199
2018-08-27,4199
2018-08-28,4199
2018-08-29,4199
2018-08-30,4199
2018-08-31,4199
2018-09-01,4311
2018-09-02,4311
2018-09-03,4311
2018-09-04,4311
2018-09-05,4311
2018-09-06,4311
2018-09-07,4311
2018-09-08,4311
2018-09-09,4311
2018-09-10,4459
2018-09-11,4459
2018-09-12,4459
2018-09-13,4459
2018-09-14,4459
2018-09-15,4459
2018-09-16,4459
2018-09-17,4459
2018-09-18,4645
2018-09-19,4645
2018-09-20,4645
2018-09-21,4645
2018-09-22,4645
2018-09-23,4645
2018-09-24,4645
2018-09-25,4645
2018-09-26,4820
2018-09-27,4820
2018-09-28,4820
2018-09-29,4820
2018-09-30,4820
2018-10-02,4969
2018-10-03,4969
2018-10-04,4969
2018-10-05,4969
2018-10-06,4969
2018-10-07,4969
2018-10-08,4969
2018-10-09,4969
2018-10-10,4952
2018-10-11,4952
2018-10-12,4952
2018-10-13,4952
2018-10-14,4952
2018-10-15,4952
2018-10-16,4952
2018-10-17,4952
2018-10-18,4936
2018-10-19,4936
2018-10-20,4936
2018-10-21,4936
2018-10-22,4936
2018-10-23,4936
2018-10-24,4936
2018-10-25,4936
2018-10-26,4936
2018-10-27,4936
2018-10-28,4829
2018-10-29,4829
2018-10-30,4829
2018-10-31,4829
2018-11-01,4829
2018-11-03,4829
2018-11-04,4829
2018-11-05,4829
2018-11-06,4829
2018-11-07,4664
2018-11-08,4664
2018-11-09,4664
2018-11-10,4664
2018-11-11,4664
2018-11-12,4664
2018-11-13,4730
2018-11-14,4730
2018-11-15,4730
2018-11-16,4730
2018-11-17,4730
2018-11-18,4764
2018-11-19,4764
2018-11-20,4764
2018-11-21,4764
2018-11-22,4764
2018-11-23,4764
2018-11-24,4821
2018-11-25,4821
2018-11-26,4821
2018-11-27,4821
2018-11-28,4821
2018-11-29,4820
2018-12-01,4820
2018-12-02,4820
2018-12-03,4820
2018-12-07,4781
2018-12-09,4781
2018-12-10,4845
2018-12-11,4845
2018-12-12,4845
2018-12-13,4845
2018-12-14,4845
2018-12-15,4991
2018-12-16,4991
2018-12-17,4991
2018-12-18,4991
2018-12-19,5138
2018-12-20,5138
2018-12-21,5138
2018-12-22,5138
2018-12-23,5138
2018-12-24,5152
2018-12-25,5152
2018-12-26,5152
2018-12-27,5152
2018-12-28,5144
2018-12-29,5144
2018-12-30,5144
2018-12-31,5144
2019-01-01,5144
2019-01-02,5101
2019-01-03,5101
2019-01-04,5101
2019-01-05,5101
2019-01-06,5139
2019-01-08,5139
2019-01-10,5139
2019-01-11,5139
2019-01-12,5191
2019-01-13,5191
2019-01-14,5191
2019-01-15,5191
2019-01-16,5191
2019-01-17,5191
2019-01-18,5191
2019-01-19,4952
2019-01-20,4952
2019-01-21,4952
2019-01-22,4952
2019-01-23,4952
2019-01-24,4874
2019-01-25,4874
2019-01-26,4874
2019-01-27,4874
2019-01-28,4874
2019-01-29,4874
2019-01-30,4874
2019-01-31,4874
2019-02-01,4643
2019-02-02,4643
2019-02-03,4643
2019-02-04,4643
2019-02-05,4643
2019-02-06,4643
2019-02-07,4617
2019-02-08,4617
2019-02-09,4617
2019-02-10,4617
2019-02-11,4617
2019-02-12,4617
2019-02-13,4501
2019-02-14,4501
2019-02-15,4501
2019-02-16,4501
2019-02-17,4501
2019-02-18,4501
2019-02-19,4299
2019-02-20,4299
2019-02-21,4299
2019-02-22,4299
2019-02-23,4299
2019-02-24,4084
2019-02-25,4084
2019-02-26,4084
2019-02-27,4084
2019-02-28,4084
2019-03-01,4084
2019-03-02,4084
2019-03-03,4084
2019-03-04,4084
2019-03-05,3928
2019-03-06,3928
2019-03-07,3928
2019-03-08,3928
2019-03-09,3928
2019-03-10,3928
2019-03-11,3928
2019-03-12,3743
2019-03-13,3743
2019-03-14,3743
2019-03-15,3743
2019-03-16,3743
2019-03-17,3743
2019-03-18,3743
2019-03-19,3743
2019-03-20,3577
2019-03-21,3577
2019-03-22,3577
2019-03-23,3577
2019-03-24,3667
2019-03-25,3667
2019-03-26,3667
2019-03-27,3667
2019-03-28,3667
2019-03-29,3661
2019-03-30,3661
2019-03-31,3661
2019-04-01,3661
2019-04-02,3661
2019-04-03,3661
2019-04-04,3661
2019-04-05,3661
2019-04-06,3546
2019-04-07,3546
2019-04-08,3546
2019-04-09,3546
2019-04-10,3546
2019-04-11,3546
2019-04-12,3545
2019-04-13,3545
2019-04-14,3545
2019-04-15,3545
2019-04-16,3545
2019-04-17,3545
2019-04-18,3563
2019-04-19,3563
2019-04-20,3563
2019-04-21,3563
2019-04-22,3563
2019-04-23,3563
2019-04-24,3563
2019-04-25,3563
2019-04-26,3563
2019-04-27,3460
2019-04-28,3460
2019-04-29,3460
2019-04-30,3460
2019-05-01,3520
2019-05-02,3520
2019-05-03,3520
2019-05-04,3595
2019-05-05,3595
2019-05-06,3595
2019-05-07,3595
2019-05-08,3595
2019-05-09,3607
2019-05-10,3607
2019-05-11,3607
2019-05-12,3607
2019-05-13,3607
2019-05-14,3607
2019-05-15,3607
2019-05-16,3607
2019-05-17,3573
2019-05-18,3573
2019-05-19,3573
2019-05-20,3573
2019-05-21,3573
2019-05-22,3573
2019-05-23,3604
2019-05-24,3604
2019-05-25,3604
2019-05-26,3604
2019-05-27,3604
2019-05-28,3604
2019-05-29,3642
2019-05-30,3642
2019-05-31,3642
2019-06-01,3642
2019-06-02,3642
2019-06-03,3715
2019-06-04,3715
2019-06-05,3715
2019-06-06,3811
2019-06-07,3811
2019-06-08,3811
2019-06-09,3811
2019-06-10,3811
2019-06-11,3811
2019-06-12,3864
2019-06-13,3864
2019-06-14,3864
2019-06-15,3864
2019-06-16,3864
2019-06-17,3967
2019-06-18,3967
2019-06-19,3967
2019-06-20,3967
2019-06-21,3967
2019-06-22,3967
2019-06-23,4051
2019-06-24,4051
2019-06-25,4051
2019-06-26,4051
2019-06-27,4051
2019-06-28,4051
2019-06-29,4051
2019-06-30,4051
2019-07-01,4051
2019-07-02,3916
2019-07-03,3916
2019-07-04,3916
2019-07-05,3916
2019-07-06,3916
2019-07-07,3987
2019-07-08,3987
2019-07-09,3987
2019-07-10,3987
2019-07-11,4097
2019-07-12,4097
