date_obj,Green%20d'hide%20vambraces price
2016-06-06,1375
2016-06-07,1364
2016-06-08,1350
2016-06-09,1370
2016-06-10,1342
2016-06-11,1324
2016-06-12,1341
2016-06-13,1357
2016-06-14,1364
2016-06-15,1360
2016-06-16,1363
2016-06-17,1371
2016-06-18,1358
2016-06-19,1333
2016-06-20,1328
2016-06-21,1307
2016-06-22,1339
2016-06-23,1333
2016-06-24,1356
2016-06-25,1351
2016-06-26,1349
2016-06-27,1335
2016-06-28,1327
2016-06-29,1352
2016-06-30,1345
2016-07-01,1345
2016-07-02,1353
2016-07-03,1347
2016-07-04,1354
2016-07-05,1331
2016-07-06,1350
2016-07-07,1349
2016-07-08,1357
2016-07-09,1353
2016-07-10,1351
2016-07-11,1374
2016-07-12,1400
2016-07-13,1377
2016-07-14,1379
2016-07-15,1376
2016-07-16,1380
2016-07-17,1352
2016-07-18,1362
2016-07-23,1385
2016-07-24,1370
2016-07-25,1364
2016-07-26,1371
2016-07-27,1404
2016-07-28,1382
2016-07-29,1349
2016-07-30,1336
2016-07-31,1325
2016-08-01,1328
2016-08-02,1365
2016-08-03,1352
2016-08-04,1339
2016-08-05,1356
2016-08-06,1344
2016-08-07,1341
2016-08-08,1339
2016-08-09,1334
2016-08-10,1322
2016-08-11,1331
2016-08-12,1331
2016-08-13,1343
2016-08-14,1338
2016-08-15,1336
2016-08-16,1332
2016-08-17,1311
2016-08-18,1339
2016-08-19,1364
2016-08-20,1354
2016-08-21,1342
2016-08-22,1327
2016-08-23,1317
2016-08-24,1338
2016-08-25,1356
2016-08-26,1379
2016-08-28,1344
2016-08-31,1372
2016-09-01,1380
2016-09-02,1391
2016-09-03,1346
2016-09-04,1336
2016-09-05,1335
2016-09-06,1335
2016-09-07,1353
2016-09-08,1395
2016-09-09,1365
2016-09-10,1351
2016-09-11,1346
2016-09-12,1341
2016-09-13,1345
2016-09-14,1344
2016-09-15,1344
2016-09-16,1393
2016-09-17,1407
2016-09-18,1379
2016-09-19,1362
2016-09-20,1395
2016-09-21,1406
2016-09-22,1354
2016-09-23,1310
2016-09-24,1317
2016-09-25,1325
2016-09-26,1353
2016-09-27,1347
2016-09-28,1355
2016-09-29,1354
2016-09-30,1345
2016-10-01,1331
2016-10-02,1341
2016-10-03,1337
2016-10-04,1331
2016-10-05,1325
2016-10-06,1344
2016-10-07,1334
2016-10-08,1348
2016-10-09,1372
2016-10-10,1390
2016-10-11,1368
2016-10-12,1367
2016-10-13,1376
2016-10-14,1369
2016-10-15,1362
2016-10-16,1341
2016-10-17,1338
2016-10-18,1333
2016-10-19,1355
2016-10-20,1358
2016-10-21,1352
2016-10-22,1327
2016-10-23,1311
2016-10-24,1320
2016-10-25,1328
2016-10-26,1336
2016-10-27,1338
2016-10-28,1334
2016-10-29,1350
2016-10-30,1332
2016-10-31,1347
2016-11-01,1358
2016-11-02,1339
2016-11-03,1342
2016-11-04,1347
2016-11-05,1361
2016-11-06,1348
2016-11-07,1356
2016-11-08,1349
2016-11-09,1354
2016-11-10,1332
2016-11-11,1335
2016-11-12,1343
2016-11-13,1341
2016-11-14,1335
2016-11-15,1360
2016-12-07,1367
2016-12-08,1365
2016-12-09,1353
2016-12-10,1367
2016-12-11,1367
2016-12-12,1351
2016-12-13,1351
2016-12-14,1345
2016-12-15,1362
2016-12-16,1371
2016-12-17,1372
2016-12-18,1382
2016-12-19,1374
2016-12-20,1370
2016-12-21,1345
2016-12-22,1323
2016-12-23,1347
2016-12-24,1329
2016-12-25,1327
2016-12-26,1305
2016-12-27,1312
2016-12-28,1320
2016-12-29,1347
2016-12-30,1327
2016-12-31,1321
2017-01-01,1325
2017-01-02,1313
2017-01-03,1299
2017-01-04,1298
2017-01-05,1304
2017-01-06,1311
2017-01-07,1327
2017-01-08,1319
2017-01-09,1329
2017-01-10,1340
2017-01-11,1342
2017-01-12,1337
2017-01-13,1341
2017-01-14,1354
2017-01-15,1332
2017-01-16,1332
2017-01-17,1352
2017-01-18,1359
2017-01-19,1347
2017-01-20,1346
2017-01-21,1348
2017-01-22,1369
2017-01-23,1360
2017-01-27,1360
2017-01-28,1360
2017-01-29,1347
2017-01-30,1354
2017-01-31,1334
2017-02-01,1335
2017-02-02,1353
2017-02-03,1326
2017-02-04,1343
2017-02-05,1349
2017-02-06,1338
2017-02-07,1340
2017-02-08,1333
2017-02-09,1351
2017-02-10,1345
2017-02-11,1338
2017-02-12,1319
2017-02-13,1327
2017-02-14,1316
2017-02-15,1351
2017-02-16,1338
2017-02-18,1355
2017-02-19,1341
2017-02-20,1351
2017-02-21,1340
2017-02-22,1331
2017-02-23,1318
2017-02-24,1319
2017-02-25,1324
2017-02-26,1312
2017-02-27,1340
2017-02-28,1338
2017-03-01,1341
2017-03-02,1337
2017-03-03,1337
2017-03-04,1334
2017-03-05,1327
2017-03-06,1311
2017-03-07,1314
2017-03-08,1327
2017-03-09,1333
2017-03-10,1338
2017-03-11,1335
2017-03-12,1342
2017-03-13,1351
2017-03-14,1359
2017-03-15,1355
2017-03-16,1367
2017-03-17,1368
2017-03-18,1367
2017-03-19,1343
2017-03-20,1347
2017-03-21,1348
2017-03-22,1347
2017-03-23,1345
2017-03-24,1352
2017-03-25,1349
2017-03-26,1341
2017-03-27,1351
2017-03-28,1337
2017-03-29,1352
2017-03-30,1351
2017-03-31,1345
2017-04-01,1337
2017-04-02,1331
2017-04-03,1352
2017-04-04,1353
2017-04-12,1342
2017-04-13,1353
2017-04-14,1342
2017-04-15,1387
2017-04-16,1378
2017-04-17,1372
2017-04-18,1386
2017-04-19,1386
2017-04-20,1364
2017-04-21,1363
2017-04-22,1385
2017-04-23,1349
2017-04-24,1350
2017-04-25,1347
2017-04-26,1352
2017-04-27,1356
2017-04-28,1359
2017-04-29,1357
2017-04-30,1342
2017-05-01,1361
2017-05-02,1348
2017-05-03,1344
2017-05-04,1347
2017-05-05,1371
2017-05-06,1379
2017-05-07,1364
2017-05-08,1345
2017-05-09,1350
2017-05-10,1359
2017-05-11,1357
2017-05-12,1353
2017-05-13,1337
2017-05-14,1334
2017-05-15,1339
2017-05-16,1332
2017-05-17,1324
2017-05-18,1324
2017-05-19,1317
2017-05-20,1331
2017-05-21,1309
2017-05-22,1320
2017-05-23,1337
2017-05-24,1310
2017-05-25,1344
2017-05-26,1337
2017-05-27,1306
2017-05-28,1302
2017-05-29,1312
2017-05-30,1332
2017-05-31,1336
2017-06-01,1344
2017-06-02,1331
2017-06-03,1351
2017-06-04,1337
2017-06-05,1323
2017-06-06,1334
2017-06-07,1342
2017-06-08,1309
2017-06-09,1321
2017-06-10,1331
2017-06-11,1332
2017-06-12,1320
2017-06-13,1319
2017-06-14,1325
2017-06-15,1345
2017-06-16,1364
2017-06-17,1361
2017-06-18,1347
2017-06-19,1322
2017-06-20,1344
2017-06-21,1353
2017-06-22,1349
2017-06-23,1340
2017-06-24,1330
2017-06-25,1312
2017-06-26,1332
2017-06-27,1340
2017-06-28,1335
2017-06-29,1328
2017-06-30,1314
2017-07-01,1328
2017-07-02,1326
2017-07-03,1332
2017-07-04,1332
2017-07-05,1320
2017-07-06,1315
2017-07-07,1324
2017-07-08,1340
2017-07-13,1330
2017-07-14,1332
2017-07-15,1351
2017-07-16,1353
2017-07-17,1335
2017-07-18,1343
2017-07-19,1340
2017-07-20,1347
2017-07-21,1346
2017-07-22,1351
2017-07-23,1344
2017-07-24,1356
2017-07-25,1391
2017-07-26,1402
2017-07-27,1414
2017-07-28,1404
2017-07-29,1430
2017-07-30,1405
2017-07-31,1390
2017-08-01,1380
2017-08-02,1364
2017-08-03,1362
2017-08-04,1356
2017-08-05,1344
2017-08-06,1339
2017-08-09,1352
2017-08-10,1360
2017-08-11,1347
2017-08-12,1340
2017-08-13,1325
2017-08-14,1323
2017-08-15,1340
2017-08-16,1341
2017-08-17,1353
2017-08-18,1348
2017-08-19,1341
2017-08-20,1346
2017-08-21,1351
2017-08-22,1371
2017-08-23,1383
2017-08-24,1364
2017-08-25,1358
2017-08-26,1358
2017-08-27,1383
2017-08-28,1380
2017-08-29,1341
2017-08-30,1353
2017-08-31,1351
2017-09-01,1377
2017-09-02,1354
2017-09-03,1329
2017-09-04,1350
2017-09-05,1369
2017-09-06,1370
2017-09-07,1333
2017-09-08,1353
2017-09-09,1353
2017-09-10,1351
2017-09-11,1358
2017-09-12,1350
2017-09-13,1343
2017-09-14,1332
2017-09-15,1308
2017-09-16,1319
2017-09-17,1330
2017-09-18,1325
2017-09-19,1333
2017-09-20,1340
2017-09-21,1333
2017-09-22,1352
2017-09-23,1362
2017-09-24,1352
2017-09-25,1343
2017-09-26,1330
2017-09-27,1308
2017-09-28,1316
2017-09-29,1340
2017-09-30,1343
2017-10-01,1337
2017-10-02,1352
2017-10-03,1346
2017-10-04,1361
2017-10-05,1367
2017-10-06,1342
2017-10-07,1344
2017-10-08,1332
2017-10-09,1320
2017-10-10,1343
2017-10-11,1352
2017-10-12,1355
2017-10-13,1354
2017-10-14,1348
2017-10-15,1355
2017-10-16,1370
2017-10-17,1375
2017-10-18,1364
2017-10-19,1345
2017-10-20,1351
2017-10-21,1321
2017-10-22,1306
2017-10-23,1330
2017-10-24,1320
2017-10-25,1313
2017-10-26,1335
2017-10-27,1326
2017-10-28,1313
2017-10-29,1318
2017-10-30,1324
2017-10-31,1329
2017-11-01,1312
2017-11-02,1322
2017-11-03,1332
2017-11-04,1316
2017-11-05,1330
2017-11-06,1352
2017-11-07,1335
2017-11-08,1342
2017-11-09,1333
2017-11-10,1330
2017-11-11,1321
2017-11-12,1331
2017-11-13,1313
2017-11-14,1321
2017-11-15,1354
2017-11-16,1335
2017-11-17,1365
2017-11-18,1355
2017-11-19,1334
2017-11-20,1329
2017-11-21,1332
2017-11-22,1332
2017-11-23,1335
2017-11-24,1337
2017-11-25,1337
2017-11-26,1317
2017-11-27,1345
2017-11-28,1354
2017-11-29,1327
2017-11-30,1340
2017-12-01,1336
2017-12-02,1313
2017-12-03,1324
2017-12-04,1342
2017-12-05,1314
2017-12-06,1322
2017-12-07,1328
2017-12-08,1324
2017-12-09,1337
2017-12-10,1328
2017-12-11,1325
2017-12-12,1319
2017-12-13,1324
2017-12-14,1310
2017-12-15,1320
2017-12-16,1321
2017-12-17,1321
2017-12-18,1336
2017-12-19,1325
2017-12-20,1316
2017-12-21,1327
2017-12-22,1330
2017-12-23,1315
2017-12-24,1327
2017-12-25,1334
2017-12-26,1326
2017-12-27,1322
2017-12-28,1298
2017-12-29,1319
2017-12-30,1329
2017-12-31,1347
2018-01-01,1316
2018-01-02,1308
2018-01-03,1292
2018-01-04,1293
2018-01-05,1307
2018-01-06,1298
2018-01-07,1294
2018-01-08,1298
2018-01-09,1317
2018-01-10,1306
2018-01-11,1316
2018-01-12,1326
2018-01-13,1306
2018-01-14,1306
2018-01-15,1309
2018-01-16,1302
2018-01-17,1310
2018-01-18,1314
2018-01-19,1320
2018-01-20,1317
2018-01-21,1308
2018-01-22,1304
2018-01-23,1315
2018-01-25,1300
2018-01-26,1302
2018-01-27,1302
2018-01-28,1301
2018-01-29,1305
2018-01-30,1298
2018-01-31,1316
2018-02-01,1314
2018-02-02,1310
2018-02-03,1311
2018-02-04,1317
2018-02-05,1319
2018-02-06,1327
2018-02-07,1329
2018-02-08,1333
2018-02-09,1328
2018-02-10,1323
2018-02-11,1328
2018-02-12,1323
2018-02-13,1321
2018-02-14,1320
2018-02-15,1324
2018-02-16,1333
2018-02-17,1348
2018-02-18,1312
2018-02-19,1329
2018-02-20,1339
2018-02-21,1347
2018-02-22,1356
2018-02-23,1338
2018-02-24,1374
2018-02-25,1377
2018-02-26,1370
2018-02-27,1387
2018-02-28,1380
2018-03-01,1388
2018-03-02,1384
2018-03-03,1355
2018-03-04,1335
2018-03-05,1349
2018-03-06,1336
2018-03-07,1345
2018-03-08,1353
2018-03-09,1363
2018-03-10,1364
2018-03-11,1356
2018-03-12,1350
2018-03-13,1315
2018-03-14,1330
2018-03-15,1321
2018-03-16,1308
2018-03-17,1282
2018-03-18,1258
2018-03-19,1304
2018-03-20,1311
2018-03-21,1332
2018-03-23,1325
2018-03-24,1301
2018-03-25,1322
2018-03-26,1302
2018-03-27,1302
2018-03-28,1313
2018-03-29,1317
2018-03-30,1321
2018-03-31,1336
2018-04-01,1305
2018-04-02,1312
2018-04-03,1323
2018-04-04,1359
2018-04-05,1363
2018-04-06,1375
2018-04-07,1368
2018-04-08,1365
2018-04-09,1367
2018-04-10,1368
2018-04-11,1395
2018-04-12,1383
2018-04-13,1403
2018-04-14,1434
2018-04-15,1405
2018-04-16,1423
2018-04-17,1401
2018-04-18,1372
2018-04-19,1358
2018-04-20,1389
2018-04-21,1370
2018-04-22,1383
2018-04-23,1382
2018-04-24,1345
2018-04-25,1353
2018-04-26,1330
2018-04-27,1347
2018-04-28,1351
2018-04-29,1346
2018-04-30,1358
2018-05-01,1353
2018-05-04,1314
2018-05-05,1343
2018-05-06,1358
2018-05-07,1337
2018-05-08,1344
2018-05-09,1353
2018-05-10,1356
2018-05-11,1361
2018-05-12,1366
2018-05-13,1363
2018-05-14,1347
2018-05-15,1356
2018-05-16,1352
2018-05-17,1306
2018-05-18,1333
2018-05-19,1344
2018-05-20,1313
2018-05-21,1338
2018-05-22,1309
2018-05-23,1290
2018-05-24,1319
2018-05-25,1316
2018-05-26,1326
2018-05-27,1300
2018-05-28,1306
2018-05-29,1321
2018-05-30,1353
2018-05-31,1364
2018-06-01,1384
2018-06-02,1370
2018-06-03,1365
2018-06-04,1352
2018-06-05,1305
2018-06-06,1323
2018-06-07,1333
2018-06-08,1335
2018-06-09,1349
2018-06-10,1342
2018-06-11,1334
2018-06-12,1325
2018-06-13,1309
2018-06-14,1343
2018-06-15,1356
2018-06-16,1360
2018-06-17,1365
2018-06-18,1341
2018-06-19,1339
2018-06-20,1362
