date_obj,Slayer's%20enchantment price
2019-02-17,1031
2019-02-18,1012
2019-02-19,963
2019-02-20,929
2019-02-21,928
2019-02-22,949
2019-02-23,983
2019-02-24,997
2019-02-25,958
2019-02-26,939
2019-02-27,935
2019-02-28,932
2019-03-01,889
2019-03-02,889
2019-03-03,879
2019-03-04,863
2019-03-05,899
2019-03-06,933
2019-03-07,980
2019-03-08,1029
2019-03-09,1081
2019-03-10,1128
2019-03-11,1118
2019-03-12,1066
2019-03-13,1025
2019-03-14,1049
2019-03-15,1022
2019-03-16,1043
2019-03-17,1039
2019-03-18,1037
2019-03-19,1022
2019-03-20,1004
2019-03-21,1014
2019-03-22,1012
2019-03-23,1024
2019-03-24,1060
2019-03-25,1060
2019-03-26,1037
2019-03-27,1061
2019-03-28,1037
2019-03-29,1018
2019-03-30,1015
2019-03-31,1054
2019-04-01,1080
2019-04-02,1044
2019-04-03,1029
2019-04-04,1043
2019-04-05,1045
2019-04-06,1021
2019-04-07,1040
2019-04-08,1045
2019-04-09,1018
2019-04-10,1033
2019-04-11,1041
2019-04-12,1036
2019-04-13,1034
2019-04-14,1059
2019-04-15,1096
2019-04-16,1081
2019-04-17,1032
2019-04-18,1026
2019-04-19,1071
2019-04-20,1064
2019-04-21,1046
2019-04-22,1039
2019-04-23,1053
2019-04-24,1052
2019-04-25,1037
2019-04-26,1038
2019-04-27,1069
2019-04-28,1080
2019-04-29,1054
2019-04-30,1027
2019-05-01,1011
2019-05-02,1024
2019-05-03,1040
2019-05-04,1024
2019-05-05,1054
2019-05-06,1107
2019-05-07,1099
2019-05-08,1083
2019-05-09,1031
2019-05-10,1030
2019-05-11,1059
2019-05-12,1091
2019-05-13,1124
2019-05-14,1159
2019-05-15,1167
2019-05-16,1180
2019-05-17,1193
2019-05-18,1224
2019-05-19,1282
2019-05-20,1330
2019-05-21,1369
2019-05-22,1427
2019-05-23,1485
2019-05-24,1560
2019-05-25,1638
2019-05-26,1720
2019-05-27,1796
2019-05-28,1741
2019-05-29,1653
2019-05-30,1588
2019-05-31,1516
2019-06-01,1465
2019-06-02,1527
2019-06-03,1565
2019-06-04,1505
2019-06-05,1580
2019-06-06,1501
2019-06-07,1425
2019-06-08,1353
2019-06-09,1287
2019-06-10,1222
2019-06-11,1160
2019-06-12,1104
2019-06-13,1061
2019-06-14,1050
2019-06-15,1074
2019-06-16,1066
2019-06-17,1061
2019-06-18,1069
2019-06-19,1064
2019-06-20,1029
2019-06-21,1050
2019-06-22,1103
2019-06-23,1159
2019-06-24,1217
2019-06-25,1278
2019-06-26,1342
2019-06-27,1388
2019-06-28,1416
2019-06-29,1429
2019-06-30,1373
2019-07-01,1326
2019-07-02,1288
2019-07-03,1307
2019-07-04,1323
2019-07-05,1302
2019-07-06,1336
2019-07-07,1360
2019-07-08,1352
2019-07-09,1373
2019-07-10,1391
2019-07-11,1414
2019-07-12,1375
2019-07-13,1365
2019-07-14,1402
2019-07-15,1382
2019-07-16,1381
2019-07-17,1355
2019-07-18,1296
2019-07-19,1231
2019-07-20,1169
2019-07-21,1110
2019-07-22,1054
2019-07-23,1006
2019-07-24,1023
2019-07-25,1057
2019-07-26,1088
2019-07-27,1143
2019-07-28,1189
2019-07-29,1185
2019-07-30,1195
2019-07-31,1184
