date_obj,Ensouled%20horror%20head price
2019-12-31,2761
2020-01-01,2785
2020-01-02,2669
2020-01-03,2767
2020-01-04,2906
2020-01-05,2817
2020-01-06,2735
2020-01-07,2668
2020-01-08,2540
2020-01-09,2475
2020-01-10,2412
2020-01-11,2502
2020-01-12,2595
2020-01-13,2725
2020-01-14,2766
2020-01-15,2700
2020-01-16,2635
2020-01-17,2630
2020-01-18,2522
2020-01-19,2495
2020-01-20,2562
2020-01-21,2588
2020-01-22,2602
2020-01-23,2562
2020-01-24,2647
2020-01-25,2700
2020-01-26,2589
2020-01-27,2459
2020-01-28,2361
2020-01-29,2480
2020-01-30,2565
2020-01-31,2485
2020-02-01,2521
2020-02-02,2536
2020-02-03,2440
2020-02-04,2409
2020-02-05,2471
2020-02-06,2587
2020-02-07,2596
2020-02-08,2615
2020-02-09,2645
2020-02-10,2616
2020-02-11,2507
2020-02-12,2461
2020-02-13,2569
2020-02-14,2565
2020-02-15,2541
2020-02-16,2449
2020-02-17,2430
2020-02-18,2458
2020-02-19,2493
2020-02-20,2568
2020-02-21,2443
2020-02-22,2458
2020-02-23,2508
2020-02-24,2601
2020-02-25,2618
2020-02-26,2603
2020-02-27,2604
2020-02-28,2651
2020-02-29,2675
2020-03-01,2637
2020-03-02,2545
2020-03-03,2525
2020-03-04,2552
2020-03-05,2529
2020-03-06,2587
2020-03-07,2669
2020-03-08,2669
2020-03-09,2642
2020-03-10,2619
2020-03-11,2642
2020-03-12,2738
2020-03-13,2710
2020-03-14,2740
2020-03-15,2722
2020-03-16,2782
2020-03-17,2664
2020-03-18,2589
2020-03-19,2639
2020-03-20,2618
2020-03-21,2699
2020-03-22,2737
2020-03-23,2661
2020-03-24,2648
2020-03-25,2693
2020-03-26,2771
2020-03-27,2851
2020-03-28,2822
2020-03-29,2920
2020-03-30,2947
2020-03-31,2842
2020-04-01,2795
2020-04-02,2655
2020-04-03,2562
2020-04-04,2580
2020-04-05,2690
2020-04-06,2768
2020-04-07,2900
2020-04-08,2929
2020-04-09,2836
2020-04-10,2763
2020-04-11,2811
2020-04-12,2908
2020-04-13,3054
2020-04-14,3123
2020-04-15,3047
2020-04-16,3012
2020-04-17,3030
2020-04-18,2930
2020-04-19,2892
2020-04-20,2861
2020-04-21,2834
2020-04-22,2877
2020-04-23,2929
2020-04-24,2960
2020-04-25,2994
2020-04-26,2941
2020-04-27,2898
2020-04-28,2889
2020-04-29,2856
2020-04-30,2879
2020-05-01,2966
2020-05-02,2899
2020-05-03,2875
2020-05-04,2806
2020-05-05,2819
2020-05-06,2888
2020-05-07,3021
2020-05-08,3173
2020-05-09,3323
2020-05-10,3353
2020-05-11,3304
2020-05-12,3183
2020-05-13,3094
