date_obj,Rune%20platebody%20(t) price
2018-09-26,43182
2018-09-27,42654
2018-09-28,42917
2018-09-29,43473
2018-09-30,43932
2018-10-02,43730
2018-10-03,44269
2018-10-04,44518
2018-10-05,44899
2018-10-06,44150
2018-10-07,43242
2018-10-08,42672
2018-10-09,42223
2018-10-10,42008
2018-10-11,41507
2018-10-12,41007
2018-10-13,40755
2018-10-14,40934
2018-10-15,41230
2018-10-16,40326
2018-10-17,41091
2018-10-18,41216
2018-10-19,41479
2018-10-20,41479
2018-10-21,41328
2018-10-22,41236
2018-10-23,41372
2018-10-24,41543
2018-10-25,41369
2018-10-26,41123
2018-10-27,41288
2018-10-28,41376
2018-10-29,41963
2018-10-30,41839
2018-10-31,41845
2018-11-01,42729
2018-11-03,44282
2018-11-04,44746
2018-11-05,46541
2018-11-06,48236
2018-11-07,49273
2018-11-08,51198
2018-11-09,52933
2018-11-10,54380
2018-11-11,56088
2018-11-12,58496
2018-11-13,61421
2018-11-14,64493
2018-11-15,67718
2018-11-16,71104
2018-11-17,74528
2018-11-18,77873
2018-11-19,80536
2018-11-20,83958
2018-11-21,87725
2018-11-22,91371
2018-11-23,95835
2018-11-24,97710
2018-11-25,98843
2018-11-26,97997
2018-11-27,98608
2018-11-28,97021
2018-11-29,94930
2018-12-01,88731
2018-12-02,84597
2018-12-03,81086
2018-12-04,78293
2018-12-05,75969
2018-12-07,70561
2018-12-09,66337
2018-12-11,63200
2018-12-12,61133
2018-12-13,59358
2018-12-14,57518
2018-12-15,56290
2018-12-16,55851
2018-12-17,55969
2018-12-18,54795
2018-12-19,54361
2018-12-20,54241
2018-12-21,54472
2018-12-22,54306
2018-12-23,52937
2018-12-24,52030
2018-12-25,50961
2018-12-26,50105
2018-12-27,48846
2018-12-28,48224
2018-12-29,48460
2018-12-30,48217
2018-12-31,48168
2019-01-01,48225
2019-01-02,49174
2019-01-03,49444
2019-01-04,50078
2019-01-05,50481
2019-01-06,50302
2019-01-08,50755
2019-01-10,49834
2019-01-11,48419
2019-01-12,47186
2019-01-13,45456
2019-01-14,43809
2019-01-15,42913
2019-01-16,44061
2019-01-17,44668
2019-01-18,44912
2019-01-19,44517
2019-01-20,43701
2019-01-21,43410
2019-01-22,43643
2019-01-23,43817
2019-01-25,44597
2019-01-26,44773
2019-01-27,44888
2019-01-28,45092
2019-01-29,44712
2019-01-30,43749
2019-01-31,42314
2019-02-01,41803
2019-02-02,41420
2019-02-03,40919
2019-02-04,40776
2019-02-05,40618
2019-02-06,40585
2019-02-07,40631
2019-02-08,40518
2019-02-09,41046
2019-02-10,40963
2019-02-11,40956
2019-02-12,40579
2019-02-13,41138
2019-02-14,40206
2019-02-15,40032
2019-02-16,39754
2019-02-17,40395
2019-02-18,40645
2019-02-19,40546
2019-02-20,41438
2019-02-21,42124
2019-02-22,42318
2019-02-23,42319
2019-02-24,42680
2019-02-25,43016
2019-02-26,41834
2019-02-27,40995
2019-02-28,40438
2019-03-01,40475
2019-03-02,40358
2019-03-03,40372
2019-03-04,40930
2019-03-05,40847
2019-03-06,41024
2019-03-07,40385
2019-03-08,40385
2019-03-09,39955
2019-03-10,40346
2019-03-11,40325
2019-03-12,40762
2019-03-13,40987
2019-03-14,40995
2019-03-15,41001
2019-03-16,40933
2019-03-17,40549
2019-03-18,40395
2019-03-19,41036
2019-03-20,41193
2019-03-21,41490
2019-03-22,41075
2019-03-23,40789
2019-03-24,40941
2019-03-25,40721
2019-03-26,40913
2019-03-27,40913
2019-03-28,41212
2019-03-29,41515
2019-03-30,41515
2019-03-31,41261
