date_obj,Cavalier%20mask price
2017-01-10,106627
2017-01-11,106627
2017-01-12,106627
2017-01-13,106627
2017-01-14,106627
2017-01-15,106627
2017-01-16,106627
2017-01-17,106627
2017-01-18,106627
2017-01-19,106627
2017-01-20,104487
2017-01-21,104487
2017-01-22,104487
2017-01-23,104487
2017-01-27,104487
2017-01-28,104487
2017-01-29,104487
2017-01-30,104487
2017-01-31,101759
2017-02-01,101759
2017-02-02,101759
2017-02-03,101759
2017-02-04,101759
2017-02-05,101759
2017-02-06,101759
2017-02-07,101759
2017-02-08,101759
2017-02-09,101759
2017-02-10,101031
2017-02-11,101031
2017-02-12,101031
2017-02-13,101031
2017-02-14,101031
2017-02-15,101031
2017-02-16,101031
2017-02-18,101031
2017-02-19,101031
2017-02-20,101031
2017-02-21,97227
2017-02-22,97227
2017-02-23,97227
2017-02-24,97227
2017-02-25,97227
2017-02-26,97227
2017-02-27,97227
2017-02-28,97227
2017-03-01,97227
2017-03-02,97227
2017-03-03,97227
2017-03-04,96217
2017-03-05,96217
2017-03-06,96217
2017-03-07,96217
2017-03-08,96217
2017-03-09,96217
2017-03-10,96217
2017-03-11,96217
2017-03-12,96217
2017-03-13,96217
2017-03-14,96217
2017-03-15,96217
2017-03-16,99845
2017-03-17,99845
2017-03-18,99845
2017-03-19,99845
2017-03-20,99845
2017-03-21,99845
2017-03-22,99845
2017-03-23,99845
2017-03-24,99845
2017-03-25,99845
2017-03-26,99845
2017-03-27,99845
2017-03-28,99299
2017-03-29,99299
2017-03-30,99299
2017-03-31,99299
2017-04-01,99299
2017-04-02,99299
2017-04-03,99299
2017-04-04,99299
2017-04-12,95107
2017-04-13,95107
2017-04-14,95107
2017-04-15,95107
2017-04-16,95107
2017-04-17,95107
2017-04-18,95107
2017-04-19,95107
2017-04-20,95107
2017-04-21,91889
2017-04-22,91889
2017-04-23,91889
2017-04-24,91889
2017-04-25,91889
2017-04-26,91889
2017-04-27,91889
2017-04-28,91889
2017-04-29,91889
2017-04-30,91889
2017-05-01,91889
2017-05-02,89223
2017-05-03,89223
2017-05-04,89223
2017-05-05,89223
2017-05-06,89223
2017-05-07,89223
2017-05-08,89223
2017-05-09,89223
2017-05-10,89223
2017-05-11,89223
2017-05-12,89223
2017-05-13,90609
2017-05-14,90609
2017-05-15,90609
2017-05-16,90609
2017-05-17,90609
2017-05-18,90609
2017-05-19,90609
2017-05-20,90609
2017-05-21,90609
2017-05-22,90609
2017-05-23,90609
2017-05-24,90609
2017-05-25,87993
2017-05-26,87993
2017-05-27,87993
2017-05-28,87993
2017-05-29,87993
2017-05-30,87993
2017-05-31,87993
2017-06-01,87993
2017-06-02,87993
2017-06-03,87993
2017-06-04,86212
2017-06-05,86212
2017-06-06,86212
2017-06-07,86212
2017-06-08,86212
2017-06-09,86212
2017-06-10,86212
2017-06-11,86212
2017-06-12,86212
2017-06-13,85789
2017-06-14,85789
2017-06-15,85789
2017-06-16,85789
2017-06-17,85789
2017-06-18,85789
2017-06-19,85789
2017-06-20,85789
2017-06-21,85789
2017-06-22,85789
2017-06-23,85789
2017-06-24,86003
2017-06-25,86003
2017-06-26,86003
2017-06-27,86003
2017-06-28,86003
2017-06-29,86003
2017-06-30,86003
2017-07-01,86003
2017-07-02,86003
2017-07-03,86003
2017-07-04,86003
2017-07-05,86003
2017-07-06,86003
2017-07-07,86003
2017-07-08,82574
2017-07-13,82574
2017-07-14,82574
2017-07-15,82574
2017-07-16,82574
2017-07-17,82574
2017-07-18,82574
2017-07-19,82027
2017-07-20,82027
2017-07-21,82027
2017-07-22,82027
2017-07-23,82027
2017-07-24,82027
2017-07-25,82027
2017-07-26,82027
2017-07-27,82027
2017-07-28,82027
2017-07-29,82027
2017-07-30,83481
2017-07-31,83481
2017-08-01,83481
2017-08-02,83481
2017-08-03,83481
2017-08-04,83481
2017-08-05,83481
2017-08-06,83481
2017-08-09,83481
2017-08-10,83826
2017-08-11,83826
2017-08-12,83826
2017-08-13,83826
2017-08-14,83826
2017-08-15,83826
2017-08-16,83826
2017-08-17,83826
2017-08-18,83826
2017-08-19,83826
2017-08-20,83826
2017-08-21,83826
2017-08-22,82899
2017-08-23,82899
2017-08-24,82899
2017-08-25,82899
2017-08-26,82899
2017-08-27,82899
2017-08-28,82899
2017-08-29,82899
2017-08-30,82899
2017-08-31,82899
2017-09-01,82899
2017-09-02,83077
2017-09-03,83077
2017-09-04,83077
2017-09-05,83077
2017-09-06,83077
2017-09-07,83077
2017-09-08,83077
2017-09-09,83077
2017-09-10,83077
2017-09-11,83077
2017-09-12,83077
2017-09-13,83504
2017-09-14,83504
2017-09-15,83504
2017-09-16,83504
2017-09-17,83504
2017-09-18,83504
2017-09-19,83504
2017-09-20,83504
2017-09-21,83504
2017-09-22,83504
2017-09-23,83504
2017-09-24,83504
2017-09-25,83504
2017-09-26,82608
2017-09-27,82608
2017-09-28,82608
2017-09-29,82608
2017-09-30,82608
2017-10-01,82608
2017-10-02,82608
2017-10-03,82608
2017-10-04,82608
2017-10-05,82608
2017-10-06,82608
2017-10-07,82608
2017-10-08,82993
2017-10-09,82993
2017-10-10,82993
2017-10-11,82993
2017-10-12,82993
2017-10-13,82993
2017-10-14,82993
2017-10-15,82993
2017-10-16,82993
2017-10-17,82993
2017-10-18,82993
2017-10-19,82993
2017-10-20,82627
2017-10-21,82627
2017-10-22,82627
2017-10-23,82627
2017-10-24,82627
2017-10-25,82627
2017-10-26,82627
2017-10-27,82627
2017-10-28,82627
2017-10-29,82627
2017-10-30,82627
2017-10-31,82627
2017-11-01,85459
2017-11-02,85459
2017-11-03,85459
2017-11-04,85459
2017-11-05,85459
2017-11-06,85459
2017-11-07,85459
2017-11-08,85459
2017-11-09,85459
2017-11-10,85459
2017-11-11,85459
2017-11-12,85459
2017-11-13,85459
2017-11-14,87283
2017-11-15,87283
2017-11-16,87283
2017-11-17,87283
2017-11-18,87283
2017-11-19,87283
2017-11-20,87283
2017-11-21,87283
2017-11-22,87283
2017-11-23,87283
2017-11-24,87283
2017-11-25,87283
2017-11-26,87283
2017-11-27,87283
2017-11-28,88178
2017-11-29,88178
2017-11-30,88178
2017-12-01,88178
2017-12-02,88178
2017-12-03,88178
2017-12-04,88178
2017-12-05,88178
2017-12-06,88178
2017-12-07,88178
2017-12-08,88178
2017-12-09,88178
2017-12-10,88178
2017-12-11,89855
2017-12-12,89855
2017-12-13,89855
2017-12-14,89855
2017-12-15,89855
2017-12-16,89855
2017-12-17,89855
2017-12-18,89855
2017-12-19,89855
2017-12-20,89855
2017-12-21,89855
2017-12-22,89855
2017-12-23,89855
