date_obj,Book%20of%20law%20page%20set price
2016-10-20,1446137
2016-10-21,1457065
2016-10-22,1457065
2016-10-23,1457065
2016-10-24,1444420
2016-10-25,1444420
2016-10-26,1444420
2016-10-27,1444420
2016-10-28,1417564
2016-10-29,1417564
2016-10-30,1417564
2016-10-31,1391520
2016-11-01,1391520
2016-11-02,1391520
2016-11-03,1391520
2016-11-04,1422318
2016-11-05,1422318
2016-11-06,1422318
2016-11-07,1422318
2016-11-08,1485790
2016-11-09,1485790
2016-11-10,1485790
2016-11-11,1485790
2016-11-12,1545413
2016-11-13,1545413
2016-11-14,1545413
2016-11-15,1545413
2016-12-07,1649359
2016-12-08,1649359
2016-12-09,1649359
2016-12-10,1614832
2016-12-11,1614832
2016-12-12,1614832
2016-12-13,1591728
2016-12-14,1591728
2016-12-15,1591728
2016-12-16,1623911
2016-12-17,1623911
2016-12-18,1623911
2016-12-19,1698648
2016-12-20,1698648
2016-12-21,1698648
2016-12-22,1648328
2016-12-23,1648328
2016-12-24,1648328
2016-12-25,1612665
2016-12-26,1612665
2016-12-27,1612665
2016-12-28,1642038
2016-12-29,1642038
2016-12-30,1642038
2016-12-31,1707922
2017-01-01,1707922
2017-01-02,1707922
2017-01-03,1713551
2017-01-04,1713551
2017-01-05,1713551
2017-01-06,1635475
2017-01-07,1635475
2017-01-08,1553701
2017-01-09,1553701
2017-01-10,1498085
2017-01-11,1498085
2017-01-12,1555755
2017-01-13,1555755
2017-01-14,1555755
2017-01-15,1629926
2017-01-16,1629926
2017-01-17,1698064
2017-01-18,1698064
2017-01-19,1762283
2017-01-20,1762283
2017-01-21,1754091
2017-01-22,1754091
2017-01-23,1754091
2017-01-27,1788452
2017-01-28,1842781
2017-01-29,1842781
2017-01-30,1842781
2017-01-31,1798706
2017-02-01,1798706
2017-02-02,1723954
2017-02-03,1723954
2017-02-04,1723954
2017-02-05,1641499
2017-02-06,1641499
2017-02-07,1641499
2017-02-08,1599440
2017-02-09,1599440
2017-02-10,1622184
2017-02-11,1622184
2017-02-12,1622184
2017-02-13,1579059
2017-02-14,1579059
2017-02-15,1537724
2017-02-16,1537724
2017-02-18,1539062
2017-02-19,1539062
2017-02-20,1527871
2017-02-21,1527871
2017-02-22,1527871
2017-02-23,1545805
2017-02-24,1545805
2017-02-25,1545805
2017-02-26,1532631
2017-02-27,1532631
2017-02-28,1483063
2017-03-01,1483063
2017-03-02,1464542
2017-03-03,1464542
2017-03-04,1522615
2017-03-05,1522615
2017-03-06,1596309
2017-03-07,1596309
2017-03-08,1596309
2017-03-09,1583430
2017-03-10,1583430
2017-03-11,1556379
2017-03-12,1556379
2017-03-13,1576396
2017-03-14,1576396
2017-03-15,1617392
2017-03-16,1617392
2017-03-17,1617392
2017-03-18,1633510
2017-03-19,1633510
2017-03-20,1636460
2017-03-21,1636460
2017-03-22,1636460
2017-03-23,1641404
2017-03-24,1641404
2017-03-25,1641404
2017-03-26,1633403
2017-03-27,1633403
2017-03-28,1680358
2017-03-29,1680358
2017-03-30,1717841
2017-03-31,1717841
2017-04-01,1727146
2017-04-02,1727146
2017-04-03,1713229
2017-04-04,1713229
2017-04-12,1602947
2017-04-13,1607644
2017-04-14,1607644
2017-04-15,1607644
2017-04-16,1617853
2017-04-17,1617853
2017-04-18,1685447
2017-04-19,1685447
2017-04-20,1685447
2017-04-21,1698501
2017-04-22,1698501
2017-04-23,1698501
2017-04-24,1691985
2017-04-25,1691985
2017-04-26,1656735
2017-04-27,1656735
2017-04-28,1642486
2017-04-29,1642486
2017-04-30,1700114
2017-05-01,1700114
2017-05-02,1700114
2017-05-03,1713306
2017-05-04,1713306
2017-05-05,1636913
2017-05-06,1636913
2017-05-07,1556407
2017-05-08,1556407
2017-05-09,1478586
2017-05-10,1478586
2017-05-11,1478586
2017-05-12,1405191
2017-05-13,1405191
2017-05-14,1341375
2017-05-15,1341375
2017-05-16,1279847
2017-05-17,1279847
2017-05-18,1253495
2017-05-19,1253495
2017-05-20,1245292
2017-05-21,1245292
2017-05-22,1285872
2017-05-23,1285872
2017-05-24,1287520
2017-05-25,1287520
2017-05-26,1287520
2017-05-27,1274908
2017-05-28,1274908
2017-05-29,1274908
2017-05-30,1262081
2017-05-31,1262081
2017-06-01,1259455
2017-06-02,1259455
2017-06-03,1305229
2017-06-04,1305229
2017-06-05,1359820
2017-06-06,1359820
2017-06-07,1392092
2017-06-08,1392092
2017-06-09,1392092
2017-06-10,1387879
2017-06-11,1387879
2017-06-12,1337031
2017-06-13,1337031
2017-06-14,1291879
2017-06-15,1291879
2017-06-16,1291879
2017-06-17,1266183
2017-06-18,1266183
2017-06-19,1266183
2017-06-20,1253588
2017-06-21,1253588
2017-06-22,1253588
2017-06-23,1282068
2017-06-24,1282068
2017-06-25,1258077
2017-06-26,1258077
2017-06-27,1292595
2017-06-28,1292595
2017-06-29,1296213
2017-06-30,1296213
2017-07-01,1296213
2017-07-02,1328585
2017-07-03,1328585
2017-07-04,1386129
2017-07-05,1386129
2017-07-06,1386129
2017-07-07,1447773
2017-07-08,1447773
2017-07-13,1582784
2017-07-14,1582784
2017-07-15,1521927
2017-07-16,1521927
2017-07-17,1447343
2017-07-18,1447343
2017-07-19,1447343
2017-07-20,1374975
2017-07-21,1374975
2017-07-22,1306226
2017-07-23,1306226
2017-07-24,1306226
2017-07-25,1243505
2017-07-26,1243505
2017-07-27,1189436
2017-07-28,1189436
2017-07-29,1189436
2017-07-30,1210203
2017-07-31,1210203
2017-08-01,1210203
2017-08-02,1168600
2017-08-03,1168600
2017-08-04,1168600
2017-08-05,1116926
2017-08-06,1116926
2017-08-09,1080393
2017-08-10,1047405
2017-08-11,1047405
2017-08-12,1047405
2017-08-13,1011036
2017-08-14,1011036
2017-08-15,1010385
2017-08-16,1010385
2017-08-17,1043955
2017-08-18,1043955
2017-08-19,1043955
2017-08-20,1057850
2017-08-21,1057850
2017-08-22,1044939
2017-08-23,1044939
2017-08-24,1044939
2017-08-25,1034787
2017-08-26,1034787
2017-08-27,1013312
2017-08-28,1013312
2017-08-29,1013312
2017-08-30,1009248
2017-08-31,1009248
2017-09-01,1009248
2017-09-02,999017
2017-09-03,999017
2017-09-04,999017
2017-09-05,987621
2017-09-06,987621
2017-09-07,1000667
2017-09-08,1000667
2017-09-09,1004023
2017-09-10,1004023
2017-09-11,1043894
2017-09-12,1043894
2017-09-13,1043894
2017-09-14,1042807
2017-09-15,1042807
2017-09-16,1042807
2017-09-17,1018444
2017-09-18,1018444
2017-09-19,1018444
2017-09-20,992205
2017-09-21,992205
2017-09-22,984678
2017-09-23,984678
2017-09-24,984678
2017-09-25,977203
2017-09-26,977203
2017-09-27,977203
2017-09-28,962341
2017-09-29,962341
2017-09-30,987147
2017-10-01,987147
2017-10-02,995355
2017-10-03,995355
2017-10-04,995355
2017-10-05,999832
2017-10-06,999832
2017-10-07,1030585
2017-10-08,1030585
2017-10-09,1030585
2017-10-10,1071627
2017-10-11,1071627
2017-10-12,1071627
2017-10-13,1121628
2017-10-14,1121628
2017-10-15,1121628
2017-10-16,1118679
2017-10-17,1118679
2017-10-18,1118679
2017-10-19,1143902
2017-10-20,1143902
2017-10-21,1143902
2017-10-22,1091870
2017-10-23,1091870
2017-10-24,1091870
2017-10-25,1061803
2017-10-26,1061803
2017-10-27,1061803
2017-10-28,1073400
2017-10-29,1073400
2017-10-30,1070838
2017-10-31,1070838
2017-11-01,1070838
2017-11-02,1026720
2017-11-03,1026720
2017-11-04,979013
2017-11-05,979013
2017-11-06,979013
2017-11-07,930230
2017-11-08,930230
2017-11-09,930230
2017-11-10,884783
2017-11-11,884783
2017-11-12,887861
2017-11-13,887861
2017-11-14,887861
2017-11-15,881979
2017-11-16,881979
2017-11-17,914965
2017-11-18,914965
2017-11-19,914965
2017-11-20,939901
2017-11-21,939901
2017-11-22,982696
2017-11-23,982696
2017-11-24,999030
2017-11-25,999030
