date_obj,Candle price
2018-05-27,254
2018-05-28,259
2018-05-29,263
2018-05-30,264
2018-05-31,250
2018-06-01,237
2018-06-02,233
2018-06-03,241
2018-06-04,233
2018-06-05,221
2018-06-06,209
2018-06-07,210
2018-06-08,213
2018-06-09,220
2018-06-10,221
2018-06-11,222
2018-06-12,222
2018-06-13,230
2018-06-14,232
2018-06-15,233
2018-06-16,221
2018-06-17,212
2018-06-18,209
2018-06-19,202
2018-06-20,200
2018-06-21,201
2018-06-22,204
2018-06-23,207
2018-06-24,208
2018-06-25,212
2018-06-26,213
2018-06-27,208
2018-06-28,213
2018-06-29,217
2018-06-30,219
2018-07-01,218
2018-07-02,225
2018-07-03,221
2018-07-04,228
2018-07-05,228
2018-07-06,230
2018-07-07,236
2018-07-08,225
2018-07-09,218
2018-07-10,224
2018-07-11,219
2018-07-12,217
2018-07-13,211
2018-07-14,212
2018-07-15,216
2018-07-16,218
2018-07-17,218
2018-07-18,223
2018-07-19,227
2018-07-20,230
2018-07-21,237
2018-07-22,238
2018-07-23,239
2018-07-24,248
2018-07-25,254
2018-07-26,259
2018-07-27,265
2018-07-28,271
2018-07-29,276
2018-07-30,277
2018-07-31,277
2018-08-01,263
2018-08-02,265
2018-08-03,272
2018-08-04,269
2018-08-05,271
2018-08-06,265
2018-08-07,257
2018-08-08,248
2018-08-09,250
2018-08-10,256
2018-08-11,246
2018-08-12,247
2018-08-14,239
2018-08-16,235
2018-08-17,238
2018-08-18,235
2018-08-19,231
2018-08-20,227
2018-08-21,222
2018-08-22,227
2018-08-23,227
2018-08-24,226
2018-08-25,228
2018-08-26,228
2018-08-27,229
2018-08-28,232
2018-08-29,229
2018-08-30,219
2018-08-31,213
2018-09-01,221
2018-09-02,226
2018-09-03,233
2018-09-04,233
2018-09-05,238
2018-09-06,246
2018-09-07,248
2018-09-08,254
2018-09-09,251
2018-09-10,256
2018-09-11,268
2018-09-12,271
2018-09-13,257
2018-09-14,244
2018-09-15,231
2018-09-16,219
2018-09-17,220
2018-09-18,210
2018-09-19,200
2018-09-20,198
2018-09-21,192
2018-09-22,182
2018-09-23,172
2018-09-24,163
2018-09-25,154
2018-09-26,146
2018-09-27,138
2018-09-28,131
2018-09-29,124
2018-09-30,117
2018-10-01,111
2018-10-02,113
2018-10-03,109
2018-10-04,109
2018-10-05,106
2018-10-06,111
2018-10-07,116
2018-10-08,121
2018-10-09,125
2018-10-10,132
2018-10-11,139
2018-10-12,146
2018-10-13,150
2018-10-14,158
2018-10-15,165
2018-10-16,174
2018-10-17,182
2018-10-18,184
2018-10-19,190
2018-10-20,195
2018-10-21,199
2018-10-22,205
2018-10-23,207
2018-10-24,214
2018-10-25,221
2018-10-26,214
2018-10-27,211
2018-10-28,214
2018-10-29,216
2018-10-30,225
2018-10-31,221
2018-11-01,212
2018-11-03,221
2018-11-04,224
2018-11-05,227
2018-11-06,231
2018-11-07,219
2018-11-08,217
2018-11-09,223
2018-11-10,221
2018-11-11,216
2018-11-12,211
2018-11-13,206
2018-11-14,200
2018-11-15,200
2018-11-16,202
2018-11-17,205
2018-11-18,202
2018-11-19,197
2018-11-20,199
2018-11-21,207
2018-11-22,208
2018-11-23,210
2018-11-24,212
2018-11-25,209
2018-11-26,209
2018-11-27,206
2018-11-28,204
2018-11-29,196
2018-12-01,199
2018-12-02,198
2018-12-03,197
2018-12-04,200
2018-12-05,206
2018-12-07,209
2018-12-09,216
2018-12-10,215
2018-12-11,211
2018-12-12,207
2018-12-13,202
2018-12-14,204
2018-12-15,206
2018-12-16,207
2018-12-17,205
2018-12-18,205
2018-12-19,207
2018-12-20,209
2018-12-21,209
2018-12-22,205
2018-12-23,203
2018-12-24,196
2018-12-25,200
2018-12-26,199
2018-12-27,197
2018-12-28,203
2018-12-29,207
2018-12-30,206
2018-12-31,200
2019-01-01,196
2019-01-02,190
2019-01-03,191
2019-01-04,190
2019-01-05,181
2019-01-06,174
2019-01-08,158
2019-01-10,149
2019-01-11,141
2019-01-12,133
2019-01-13,133
2019-01-14,135
2019-01-15,138
2019-01-16,142
2019-01-17,144
2019-01-18,148
2019-01-19,152
2019-01-20,156
2019-01-21,159
2019-01-22,161
2019-01-23,159
2019-01-24,151
2019-01-25,147
2019-01-26,142
2019-01-27,143
2019-01-28,138
2019-01-29,139
2019-01-30,139
2019-01-31,140
2019-02-01,145
2019-02-02,150
2019-02-03,153
2019-02-04,156
2019-02-05,157
2019-02-06,164
2019-02-07,167
2019-02-08,172
2019-02-09,175
2019-02-10,180
2019-02-11,183
2019-02-12,190
2019-02-13,194
2019-02-14,184
2019-02-15,189
2019-02-16,198
2019-02-17,204
2019-02-18,202
2019-02-19,200
2019-02-20,198
2019-02-21,198
2019-02-22,198
2019-02-23,200
2019-02-24,198
2019-02-25,191
2019-02-26,182
2019-02-27,181
2019-02-28,181
2019-03-01,183
2019-03-02,178
2019-03-03,178
2019-03-04,177
2019-03-05,179
2019-03-06,182
2019-03-07,175
2019-03-08,179
2019-03-09,178
2019-03-10,179
2019-03-11,177
2019-03-12,180
2019-03-13,185
2019-03-14,188
2019-03-15,195
2019-03-16,201
2019-03-17,208
2019-03-18,212
2019-03-19,214
2019-03-20,205
2019-03-21,204
2019-03-22,197
2019-03-23,194
2019-03-24,196
2019-03-25,193
2019-03-26,197
2019-03-27,194
2019-03-28,189
2019-03-29,186
2019-03-30,188
2019-03-31,178
2019-04-01,174
2019-04-02,174
2019-04-03,173
2019-04-04,174
2019-04-05,181
2019-04-06,189
2019-04-07,196
2019-04-08,198
2019-04-09,205
2019-04-10,198
2019-04-11,188
2019-04-12,178
2019-04-13,174
2019-04-14,173
2019-04-15,170
2019-04-16,169
2019-04-17,174
2019-04-18,171
2019-04-19,165
2019-04-20,165
2019-04-21,167
2019-04-22,175
2019-04-23,181
2019-04-24,180
2019-04-25,185
2019-04-26,186
2019-04-27,186
2019-04-28,192
2019-04-29,194
2019-04-30,196
2019-05-01,201
2019-05-02,210
2019-05-03,213
2019-05-04,214
2019-05-05,216
2019-05-06,210
2019-05-07,204
2019-05-08,209
2019-05-09,219
2019-05-10,224
2019-05-11,230
2019-05-12,230
2019-05-13,237
2019-05-14,236
2019-05-15,232
2019-05-16,227
2019-05-17,227
2019-05-18,222
2019-05-19,218
2019-05-20,215
2019-05-21,205
2019-05-22,206
2019-05-23,204
2019-05-24,211
2019-05-25,219
2019-05-26,221
2019-05-27,222
2019-05-28,221
2019-05-29,216
2019-05-30,224
2019-05-31,230
2019-06-01,234
2019-06-02,237
2019-06-03,230
2019-06-04,228
2019-06-05,228
2019-06-06,235
2019-06-07,242
2019-06-08,250
2019-06-09,245
2019-06-10,248
2019-06-11,246
2019-06-12,247
2019-06-13,238
2019-06-14,236
2019-06-15,241
2019-06-16,242
2019-06-17,247
2019-06-18,252
2019-06-19,244
2019-06-20,231
2019-06-21,219
2019-06-22,208
2019-06-23,199
2019-06-24,195
2019-06-25,194
2019-06-26,198
2019-06-27,193
2019-06-28,192
2019-06-29,194
2019-06-30,191
2019-07-01,196
2019-07-02,197
2019-07-03,202
2019-07-04,202
2019-07-05,207
2019-07-06,209
2019-07-07,198
2019-07-08,193
2019-07-09,195
2019-07-10,201
2019-07-11,209
2019-07-12,215
2019-07-13,226
2019-07-14,231
2019-07-15,228
2019-07-16,236
2019-07-17,241
2019-07-18,249
2019-07-19,256
2019-07-20,257
2019-07-21,248
2019-07-22,241
2019-07-23,230
2019-07-24,224
2019-07-25,229
2019-07-26,240
2019-07-27,233
2019-07-28,237
2019-07-29,245
2019-07-30,243
2019-07-31,248
2019-08-01,257
2019-08-02,265
2019-08-03,271
2019-08-04,275
2019-08-05,272
2019-08-06,260
2019-08-07,247
2019-08-08,238
2019-08-09,226
2019-08-10,219
2019-08-11,225
2019-08-12,231
2019-08-13,236
2019-08-14,228
2019-08-15,228
2019-08-16,228
2019-08-17,219
2019-08-18,217
2019-08-19,217
2019-08-20,218
2019-08-21,216
2019-08-22,217
2019-08-23,222
2019-08-24,233
2019-08-24,233
