date_obj,Seercull price
2017-07-24,19953
2017-07-25,19294
2017-07-26,19390
2017-07-27,19158
2017-07-28,19158
2017-07-29,19160
2017-07-30,19571
2017-07-31,19571
2017-08-01,19457
2017-08-02,18668
2017-08-03,18668
2017-08-04,18584
2017-08-05,18900
2017-08-06,18900
2017-08-09,18440
2017-08-10,18493
2017-08-11,18493
2017-08-12,19099
2017-08-13,19099
2017-08-14,19374
2017-08-15,19390
2017-08-17,19058
2017-08-18,19058
2017-08-19,19183
2017-08-20,18888
2017-08-21,18888
2017-08-22,19362
2017-08-23,19362
2017-08-24,20062
2017-08-25,20062
2017-08-26,20615
2017-08-27,19680
2017-08-28,19680
2017-08-29,18878
2017-08-30,19342
2017-08-31,19342
2017-09-01,19565
2017-09-02,19963
2017-09-03,19963
2017-09-04,20163
2017-09-05,19960
2017-09-06,19960
2017-09-07,20228
2017-09-08,20228
2017-09-09,19427
2017-09-10,18663
2017-09-11,18663
2017-09-12,17938
2017-09-13,17606
2017-09-14,17786
2017-09-15,17786
2017-09-16,17986
2017-09-17,18096
2017-09-19,17868
2017-09-20,17940
2017-09-21,17940
2017-09-22,17828
2017-09-23,17828
2017-09-24,17846
2017-09-25,17846
2017-09-26,17963
2017-09-27,17963
2017-09-28,18001
2017-09-29,18225
2017-09-30,18225
2017-10-01,18053
2017-10-02,18273
2017-10-03,18273
2017-10-04,18172
2017-10-05,18172
2017-10-06,18573
2017-10-07,18573
2017-10-08,18711
2017-10-09,18711
2017-10-10,19030
2017-10-11,19030
2017-10-12,19150
2017-10-13,19258
2017-10-14,19362
2017-10-15,19362
2017-10-16,20174
2017-10-17,20174
2017-10-18,20842
2017-10-19,20842
2017-10-20,21690
2017-10-21,21690
2017-10-22,22166
2017-10-23,22166
2017-10-24,22389
2017-10-25,23374
2017-10-26,23374
2017-10-27,23986
2017-10-28,23986
2017-10-29,23552
2017-10-30,22593
2017-10-31,22590
2017-11-01,22590
2017-11-02,22180
2017-11-03,22180
2017-11-04,22173
2017-11-05,22173
2017-11-06,21447
2017-11-07,21447
2017-11-08,21552
2017-11-09,21258
2017-11-10,21258
2017-11-11,20843
2017-11-12,19917
2017-11-13,19917
2017-11-14,19493
2017-11-15,19493
2017-11-16,19548
2017-11-17,19498
2017-11-18,19498
2017-11-19,19276
2017-11-20,19306
2017-11-21,19285
2017-11-22,19285
2017-11-23,19317
2017-11-24,19317
2017-11-25,18631
2017-11-26,17852
2017-11-27,17852
2017-11-28,17532
2017-11-29,17532
2017-11-30,16907
2017-12-01,16061
2017-12-02,16061
2017-12-03,15707
