date_obj,Garden%20pie price
2017-01-18,173
2017-01-19,179
2017-01-20,179
2017-01-21,178
2017-01-22,178
2017-01-23,182
2017-01-27,175
2017-01-28,176
2017-01-29,176
2017-01-30,185
2017-01-31,185
2017-02-01,195
2017-02-02,195
2017-02-03,205
2017-02-04,216
2017-02-05,216
2017-02-06,227
2017-02-07,227
2017-02-08,228
2017-02-09,228
2017-02-10,228
2017-02-11,228
2017-02-12,220
2017-02-13,217
2017-02-14,214
2017-02-15,214
2017-02-16,203
2017-02-18,196
2017-02-19,194
2017-02-20,194
2017-02-21,185
2017-02-22,185
2017-02-23,181
2017-02-24,181
2017-02-25,174
2017-02-26,174
2017-02-27,167
2017-02-28,158
2017-03-01,158
2017-03-02,150
2017-03-03,150
2017-03-04,142
2017-03-05,142
2017-03-06,139
2017-03-07,139
2017-03-08,142
2017-03-09,142
2017-03-10,146
2017-03-11,146
2017-03-12,141
2017-03-13,137
2017-03-14,137
2017-03-15,135
2017-03-16,135
2017-03-17,132
2017-03-18,132
2017-03-19,132
2017-03-20,128
2017-03-21,128
2017-03-22,126
2017-03-23,126
2017-03-24,127
2017-03-25,127
2017-03-26,125
2017-03-27,125
2017-03-28,126
2017-03-29,126
2017-03-30,126
2017-03-31,119
2017-04-01,119
2017-04-02,115
2017-04-03,114
2017-04-04,114
2017-04-12,118
2017-04-13,119
2017-04-14,119
2017-04-15,124
2017-04-16,131
2017-04-17,131
2017-04-18,128
2017-04-19,128
2017-04-20,129
2017-04-21,129
2017-04-22,126
2017-04-23,126
2017-04-24,122
2017-04-25,129
2017-04-26,129
2017-04-27,129
2017-04-28,129
2017-04-29,135
2017-04-30,135
2017-05-01,142
2017-05-02,142
2017-05-03,149
2017-05-04,148
2017-05-05,148
2017-05-06,155
2017-05-07,155
2017-05-08,163
2017-05-09,172
2017-05-10,172
2017-05-11,181
2017-05-12,185
2017-05-13,185
2017-05-14,184
2017-05-15,184
2017-05-16,178
2017-05-17,178
2017-05-18,178
2017-05-19,178
2017-05-20,179
2017-05-21,179
2017-05-22,177
2017-05-23,177
2017-05-24,182
2017-05-25,182
2017-05-26,184
2017-05-27,190
2017-05-28,190
2017-05-29,196
2017-05-30,196
2017-05-31,199
2017-06-01,199
2017-06-02,203
2017-06-03,203
2017-06-04,198
2017-06-05,198
2017-06-06,199
2017-06-07,199
2017-06-08,200
2017-06-09,200
2017-06-10,193
2017-06-11,189
2017-06-12,189
2017-06-13,193
2017-06-14,193
2017-06-15,195
2017-06-16,195
2017-06-17,196
2017-06-18,192
2017-06-19,192
2017-06-20,195
2017-06-21,195
2017-06-22,195
2017-06-23,195
2017-06-24,194
2017-06-25,194
2017-06-26,191
2017-06-27,182
2017-06-28,182
2017-06-29,173
2017-06-30,173
2017-07-01,166
2017-07-02,166
2017-07-03,158
2017-07-04,158
2017-07-05,150
2017-07-06,147
2017-07-07,147
2017-07-08,155
2017-07-13,154
2017-07-14,146
2017-07-15,146
2017-07-16,139
2017-07-17,139
2017-07-18,139
2017-07-19,138
2017-07-20,138
2017-07-21,136
2017-07-22,136
2017-07-23,130
2017-07-24,130
